TA1	TA2	TA3	TA4	TB	TC	NTA	gdna	strand_specificity	n_fragments	strand_symmetry_kappa	strand_symmetry_pseudo	nrna_TB	nrna_TC	TA1_expected	TA2_expected	TA3_expected	TA4_expected	TB_expected	TC_expected	TA1_observed	TA2_observed	TA3_observed	TA4_observed	TB_observed	TC_observed	TA1_abs_diff	TA2_abs_diff	TA3_abs_diff	TA4_abs_diff	TB_abs_diff	TC_abs_diff	TA1_rel_err	TA2_rel_err	TA3_rel_err	TA4_rel_err	TB_rel_err	TC_rel_err	nrna_expected	nrna_observed	nrna_abs_diff	nrna_rel_err	gdna_expected	gdna_observed	gdna_abs_diff	total_mrna_expected	total_mrna_observed	total_mrna_rel_err	total_rna_expected	total_rna_observed	total_rna_rel_err	n_fragments_actual	n_intergenic	n_chimeric
100	0	0	3	0	0	100	100	1.0	10000	4.0	20.0	0	0	456	0	0	9	0	0	399.15	0.38	24.76	0.78	3.85	7.58	56.85	0.38	24.76	8.22	3.85	7.58	0.1247	0.0	0.0	0.9137	0.0	0.0	1436	1617.63	181.63	0.1265	8099	7945.88	153.12	465	436.5	0.0613	1901	2054.12	0.0805	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	4.0	50.0	0	0	456	0	0	9	0	0	399.15	0.38	24.75	0.78	3.85	4.8	56.85	0.38	24.75	8.22	3.85	4.8	0.1247	0.0	0.0	0.9137	0.0	0.0	1436	1604.47	168.47	0.1173	8099	7961.83	137.17	465	433.7	0.0673	1901	2038.17	0.0722	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	6.0	1.0	0	0	456	0	0	9	0	0	399.18	0.38	24.78	0.77	3.85	40.83	56.82	0.38	24.78	8.23	3.85	40.83	0.1246	0.0	0.0	0.9139	0.0	0.0	1436	1733.92	297.92	0.2075	8099	7796.28	302.72	465	469.8	0.0103	1901	2203.72	0.1592	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	6.0	5.0	0	0	456	0	0	9	0	0	399.18	0.38	24.78	0.77	3.85	39.85	56.82	0.38	24.78	8.23	3.85	39.85	0.1246	0.0	0.0	0.9139	0.0	0.0	1436	1731.72	295.72	0.2059	8099	7799.46	299.54	465	468.82	0.0082	1901	2200.54	0.1576	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	6.0	10.0	0	0	456	0	0	9	0	0	399.18	0.38	24.78	0.77	3.85	38.64	56.82	0.38	24.78	8.23	3.85	38.64	0.1246	0.0	0.0	0.9139	0.0	0.0	1436	1729.01	293.01	0.204	8099	7803.38	295.62	465	467.61	0.0056	1901	2196.62	0.1555	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	6.0	20.0	0	0	456	0	0	9	0	0	399.18	0.38	24.78	0.78	3.85	36.31	56.82	0.38	24.78	8.22	3.85	36.31	0.1246	0.0	0.0	0.9139	0.0	0.0	1436	1723.68	287.68	0.2003	8099	7811.04	287.96	465	465.27	0.0006	1901	2188.96	0.1515	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	6.0	50.0	0	0	456	0	0	9	0	0	399.17	0.38	24.77	0.78	3.85	29.88	56.83	0.38	24.77	8.22	3.85	29.88	0.1246	0.0	0.0	0.9138	0.0	0.0	1436	1708.47	272.47	0.1897	8099	7832.69	266.31	465	458.83	0.0133	1901	2167.31	0.1401	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	8.0	1.0	0	0	456	0	0	9	0	0	399.19	0.38	24.8	0.77	3.86	62.0	56.81	0.38	24.8	8.23	3.86	62.0	0.1246	0.0	0.0	0.914	0.0	0.0	1436	1798.32	362.32	0.2523	8099	7710.67	388.33	465	491.01	0.0559	1901	2289.33	0.2043	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	8.0	5.0	0	0	456	0	0	9	0	0	399.19	0.38	24.8	0.77	3.86	60.97	56.81	0.38	24.8	8.23	3.86	60.97	0.1246	0.0	0.0	0.914	0.0	0.0	1436	1796.04	360.04	0.2507	8099	7713.99	385.01	465	489.97	0.0537	1901	2286.01	0.2025	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	8.0	10.0	0	0	456	0	0	9	0	0	399.19	0.38	24.8	0.77	3.86	59.69	56.81	0.38	24.8	8.23	3.86	59.69	0.1246	0.0	0.0	0.914	0.0	0.0	1436	1793.23	357.23	0.2488	8099	7718.08	380.92	465	488.69	0.0509	1901	2281.92	0.2004	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	8.0	20.0	0	0	456	0	0	9	0	0	399.19	0.38	24.79	0.77	3.86	57.2	56.81	0.38	24.79	8.23	3.86	57.2	0.1246	0.0	0.0	0.914	0.0	0.0	1436	1787.71	351.71	0.2449	8099	7726.1	372.9	465	486.2	0.0456	1901	2273.9	0.1962	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	8.0	50.0	0	0	456	0	0	9	0	0	399.19	0.38	24.79	0.77	3.85	50.19	56.81	0.38	24.79	8.23	3.85	50.19	0.1246	0.0	0.0	0.914	0.0	0.0	1436	1771.9	335.9	0.2339	8099	7748.93	350.07	465	479.18	0.0305	1901	2251.07	0.1842	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	10.0	1.0	0	0	456	0	0	9	0	0	399.2	0.38	24.81	0.77	3.86	77.09	56.8	0.38	24.81	8.23	3.86	77.09	0.1246	0.0	0.0	0.9141	0.0	0.0	1436	1843.35	407.35	0.2837	8099	7650.53	448.47	465	506.11	0.0884	1901	2349.47	0.2359	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	10.0	5.0	0	0	456	0	0	9	0	0	399.2	0.38	24.81	0.77	3.86	76.06	56.8	0.38	24.81	8.23	3.86	76.06	0.1246	0.0	0.0	0.9141	0.0	0.0	1436	1841.05	405.05	0.2821	8099	7653.86	445.14	465	505.08	0.0862	1901	2346.14	0.2342	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	10.0	10.0	0	0	456	0	0	9	0	0	399.2	0.38	24.81	0.77	3.86	74.78	56.8	0.38	24.81	8.23	3.86	74.78	0.1246	0.0	0.0	0.9141	0.0	0.0	1436	1838.21	402.21	0.2801	8099	7657.98	441.02	465	503.81	0.0835	1901	2342.02	0.232	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	10.0	20.0	0	0	456	0	0	9	0	0	399.2	0.38	24.81	0.77	3.86	72.3	56.8	0.38	24.81	8.23	3.86	72.3	0.1246	0.0	0.0	0.9141	0.0	0.0	1436	1832.62	396.62	0.2762	8099	7666.06	432.94	465	501.32	0.0781	1901	2333.94	0.2277	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	10.0	50.0	0	0	456	0	0	9	0	0	399.2	0.38	24.8	0.77	3.86	65.22	56.8	0.38	24.8	8.23	3.86	65.22	0.1246	0.0	0.0	0.914	0.0	0.0	1436	1816.61	380.61	0.265	8099	7689.15	409.85	465	494.24	0.0629	1901	2310.85	0.2156	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	15.0	1.0	0	0	456	0	0	9	0	0	399.19	0.39	24.84	0.77	445.99	102.14	56.81	0.39	24.84	8.23	445.99	102.14	0.1246	0.0	0.0	0.9143	0.0	0.0	1436	1916.83	480.83	0.3348	8099	7109.86	989.14	465	973.31	1.0931	1901	2890.14	0.5203	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	15.0	5.0	0	0	456	0	0	9	0	0	399.19	0.39	24.84	0.77	434.55	101.03	56.81	0.39	24.84	8.23	434.55	101.03	0.1246	0.0	0.0	0.9142	0.0	0.0	1436	1914.51	478.51	0.3332	8099	7124.72	974.28	465	960.77	1.0662	1901	2875.28	0.5125	10000	4841	0
