n_transcripts,n_expressed_truth,n_expressed_pred,total_truth,total_predicted,total_abs_error,mae,median_abs_error,rmse,mean_rel_error,median_rel_error,mape,ware,pearson_r,spearman_r,log2_pearson_r,log2_spearman_r,precision,recall,f1,tp,fp,fn,tn,condition,tool,gdna_label,strand_specificity,nrna_label
63140,30437,23313,1000000.0000000001,986756.946679706,38113.3643062925,0.6036326307616804,0.0,3.1049076622054703,0.5699469297768237,0.22291590412695855,56.99469297768237,0.037407962710197834,0.9996085845792156,0.8991715275869221,0.9931437786790136,0.8991715238430458,0.9873032213786299,0.7562177612773926,0.856446511627907,23017,296,7420,32407,pristine,rigel/oracle_vbem,unknown,1.0,none
63140,30437,23378,1000000.0000000001,971404.4645879515,56375.47219253409,0.8928646213578412,0.0,10.819768997863353,0.580825576034859,0.22925574874848176,58.082557603485895,0.05377852285698452,0.9948817752387982,0.8951943580612498,0.9908375032210407,0.8951943480802749,0.9823338181195996,0.7545093143213851,0.8534795131468921,22965,413,7472,32290,pristine,rigel/star_vbem,unknown,1.0,none
63140,30437,20985,1000000.0000000001,873608.055468,152902.5023850774,2.4216424197826636,0.0,23.148749268411972,0.7323293563461403,0.39287648212347437,73.23293563461402,0.15119975698907742,0.9794080410316496,0.85587006479702,0.9726919533516336,0.855870059178162,0.9876578508458422,0.6809475309656011,0.8061141145813077,20726,259,9711,32444,pristine,salmon,unknown,1.0,none
63140,30437,23325,1000000.0000000001,996062.8866353892,38391.05088645559,0.6080305810335063,0.0,5.86670541160319,0.5672126134987199,0.198841915038025,56.72126134987199,0.0366443686614615,0.998420391590152,0.8991769112782276,0.9927415637357256,0.8991768904945842,0.9876527331189711,0.7568748562604725,0.8569993675830512,23037,288,7400,32415,pristine,kallisto,unknown,1.0,none
63140,30437,27594,1000000.0000000001,987036.228499329,41094.12904929473,0.6508414483575345,0.033170707367380044,3.3969140967609954,0.7759963852683578,0.2274070782871034,77.59963852683578,0.038444922423271216,0.9995620880404392,0.8435285325529162,0.9902266354334537,0.8435285333291277,0.8664202362832499,0.7854913427735979,0.8239733935310437,23908,3686,6529,29017,gdna,rigel/oracle_vbem,unknown,1.0,none
63140,30437,27752,1000000.0000000001,972186.6055213526,59118.072185241224,0.9363014283376817,0.036039362254690926,10.932926215116156,0.7830678225210128,0.2359996433765288,78.30678225210129,0.05519522707392956,0.9948388614113765,0.8391138100336526,0.9878374472760286,0.8391138155114931,0.860622657826463,0.7847028287939022,0.8209111687776041,23884,3868,6553,28835,gdna,rigel/star_vbem,unknown,1.0,none
63140,30437,30137,1000000.0000000001,868922.665132,167655.5240910444,2.6552981325791007,0.1107942966257052,23.779352154810578,1.68503908201362,0.4557113942132451,168.503908201362,0.1621150234300444,0.9793354944182883,0.7584491215372915,0.9628856550092043,0.7584491152130033,0.7806350997113183,0.7729408285967737,0.7767689107537887,23526,6611,6911,26092,gdna,salmon,unknown,1.0,none
63140,30437,48620,1000000.0000000001,946361.618347185,225527.52943861345,3.57186457774174,0.618371,17.35909162581333,6.6791061385668495,0.3571955098499212,667.9106138566849,0.15839373700286266,0.9959802268066001,0.6310442590044087,0.8804305271431417,0.6310442403818669,0.5897984368572604,0.9421427867398232,0.7254512566882123,28676,19944,1761,12759,gdna,kallisto,unknown,1.0,none
63140,30437,27877,1000000.0,984419.9984293646,44425.965056041714,0.7036104696870719,0.03437154999337299,3.718268594939009,0.7284716062662098,0.22535855267786675,72.84716062662098,0.04168063635111755,0.9995540025439945,0.8478375088465364,0.9887186528321843,0.8478375218814785,0.8673099687914768,0.7943621250451752,0.829234832115787,24178,3699,6259,29004,gdna_nrna,rigel/oracle_vbem,nrna,1.0,none
63140,30437,28109,1000000.0,966500.3093230298,68399.5703257624,1.0833001318619322,0.03706424855270175,14.6085900716095,0.7298615803895174,0.22897002119714177,72.98615803895174,0.06350903997442858,0.9905697733072305,0.842325508081216,0.9861621775280723,0.8423255231218608,0.8593688854103668,0.7936393205637875,0.825197280770676,24156,3953,6281,28750,gdna_nrna,rigel/star_vbem,nrna,1.0,none
63140,30437,30498,1000000.0,839242.3139760001,197456.0034083713,3.1272727812539007,0.11692383862591987,26.18516122708838,1.5740201025770615,0.438755594773974,157.40201025770614,0.1913363019423713,0.9773118882918025,0.7589955977469197,0.9583216713469991,0.7589956682486309,0.7782805429864253,0.7798403259191116,0.7790596537293837,23736,6762,6701,25941,gdna_nrna,salmon,nrna,1.0,none
63140,30437,49771,1000000.0,835842.4742589009,397554.0871894257,6.296390357767274,0.6270998753192801,34.724694887788964,5.918292307827756,0.3581694350159702,591.8292307827757,0.29823578958183655,0.9784427326090389,0.6150172527217872,0.8478093440001461,0.615017245691157,0.5812219967450926,0.9504221835266288,0.7213245561539997,28928,20843,1509,11860,gdna_nrna,kallisto,nrna,1.0,none
