n_transcripts,n_expressed_truth,n_expressed_pred,total_truth,total_predicted,total_abs_error,mae,median_abs_error,rmse,mean_rel_error,median_rel_error,mape,ware,pearson_r,spearman_r,log2_pearson_r,log2_spearman_r,precision,recall,f1,tp,fp,fn,tn,condition,tool,gdna_label,strand_specificity,nrna_label,count_n_transcripts,count_n_expressed_truth,count_n_expressed_pred,count_total_truth,count_total_predicted,count_total_abs_error,count_mae,count_median_abs_error,count_rmse,count_mean_rel_error,count_median_rel_error,count_mape,count_ware,count_pearson_r,count_spearman_r,count_log2_pearson_r,count_log2_spearman_r,count_precision,count_recall,count_f1,count_tp,count_fp,count_fn,count_tn
118684,57806,53249,999999.9999999998,986756.946679706,82594.13015389403,0.6959163000395506,0.04233620249993432,4.549103611012461,0.7206895730993461,0.3590468837249696,72.06895730993462,0.07590974903246203,0.9977343841061559,0.8382138340984203,0.9765451874177605,0.8382138340984203,0.8561850926777967,0.788689755388714,0.8210526315789474,45591,7658,12215,53220,pristine,rigel/oracle_vbem,unknown,1.0,none,118684,57806,53249,9999999.999999998,9923916.0,7234663.028288687,60.95735759064985,0.5346873406226191,499.161575436281,1.3056544661167642,0.8173913749927882,130.5654466116764,0.7150059028288688,0.667227062319617,0.8245658441443207,,,0.8561850926777967,0.788689755388714,0.8210526315789474,45591,7658,12215,53220
118684,57806,53328,999999.9999999998,971404.4645879518,105226.9215189915,0.8866142152184919,0.043754248090620486,9.23739981556792,0.7555543760825565,0.3666219259662269,75.55543760825564,0.09583121178026677,0.9909940770702476,0.8340438678981876,0.9724998891013912,0.8340438678981876,0.8533978397839784,0.7872885167629657,0.8190112836755629,45510,7818,12296,53060,pristine,rigel/star_vbem,unknown,1.0,none,118684,57806,53328,9999999.999999998,9868836.0,7255925.079780323,61.13650601412426,0.5573373493662239,503.25129898529224,1.329201020185987,0.8176806951058303,132.9201020185987,0.7155936079780325,0.6603155031805027,0.8214674447922956,,,0.8533978397839784,0.7872885167629657,0.8190112836755629,45510,7818,12296,53060
118684,57806,41381,999999.9999999998,873608.055468,327533.41413789697,2.7597099367892635,0.011789828544285508,28.394320003759727,1.7369089260695136,0.6821350395395425,173.69089260695137,0.31051710113789704,0.9075355134484412,0.8001842547605265,0.8992921920711734,0.8001842547605265,0.937555883134772,0.6711587032487977,0.7823000998114672,38797,2584,19009,58294,pristine,salmon,unknown,1.0,none,118684,57806,41380,9999999.999999998,8852454.143,8144045.964072672,68.61957773644865,0.13799458409788717,547.5816745804616,2.5816754037675023,1.0,258.16754037675025,0.7972150456072674,0.5771536570215036,0.7966434830462441,,,0.9375785403576608,0.6711587032487977,0.7823079870142964,38797,2583,19009,58295
118684,57806,46143,999999.9999999998,996062.8866353892,76184.20829708353,0.6419079934707588,0.009259926554980095,5.5982241552645595,0.6447167281568902,0.3429525173326067,64.47167281568902,0.07064862020344666,0.9965186596505515,0.8576972568008122,0.9788834729740371,0.8576972568008122,0.9277246819669289,0.740545964086773,0.8236346670001636,42808,3335,14998,57543,pristine,kallisto,unknown,1.0,none,118684,57806,46143,9999999.999999998,9982131.743450955,7284595.278879194,61.378073530376405,0.11590558191640898,500.3080499760933,1.1618100403964826,0.895316899898903,116.18100403964826,0.7225535939470401,0.6653636828446065,0.8500977570295091,,,0.9277246819669289,0.740545964086773,0.8236346670001636,42808,3335,14998,57543
118684,57806,55815,999999.9999999998,987036.2284993288,83484.75303705566,0.7034204529427359,0.061169294519727725,4.628583332817267,0.7651621905752859,0.3717501787935755,76.51621905752859,0.0757726213349969,0.9976897703502091,0.8128503189232145,0.975403264497316,0.8128503189232145,0.8134551643823345,0.7854374978375948,0.7992008519551843,45403,10412,12403,50466,gdna,rigel/oracle_vbem,unknown,1.0,none,118684,57806,55815,9999999.999999998,9959027.0,7259732.258884588,61.16858429851192,0.8564419297873864,499.4151479934005,1.3260740165402254,0.8328936333164405,132.60740165402254,0.718488325888459,0.6668252728962618,0.8059965008553357,,,0.8134551643823345,0.7854374978375948,0.7992008519551843,45403,10412,12403,50466
118684,57806,56010,999999.9999999998,972186.6055213527,106190.84721693501,0.8947359982553251,0.06310894820090622,9.365959271046533,0.8137693403363543,0.38092423634139255,81.37693403363542,0.0963542471708374,0.9908113460489337,0.8079610477681637,0.9712143366075637,0.8079610477681637,0.8092662024638457,0.7841227554233124,0.7964960989667534,45327,10683,12479,50195,gdna,rigel/star_vbem,unknown,1.0,none,118684,57806,56010,9999999.999999998,9903012.0,7285911.636532469,61.389164811874124,0.8909359070397571,503.72257864607167,1.3701265175401622,0.8344171344472956,137.01265175401622,0.719654763653247,0.6595432621305325,0.8021633313658854,,,0.8092662024638457,0.7841227554233124,0.7964960989667534,45327,10683,12479,50195
118684,57806,52969,999999.9999999998,868922.6651319999,340148.0266851747,2.8659973263891905,0.10208919716756314,28.54115413854657,2.1902653558595673,0.7205945348875211,219.02653558595674,0.3188380407251748,0.9073510028361839,0.7273660164614213,0.8905734285964391,0.7273660164614213,0.7934452226774151,0.7270525550980868,0.7587993680884676,42028,10941,15778,49937,gdna,salmon,unknown,1.0,none,118684,57806,52969,9999999.999999998,8934439.991,8218499.668671594,69.24690496336149,1.0,547.8912303379846,3.7327692528032617,1.0,373.27692528032617,0.8019532050671596,0.5765158710534657,0.7284114938628272,,,0.7934452226774151,0.7270525550980868,0.7587993680884676,42028,10941,15778,49937
118684,57806,80052,999999.9999999998,946361.618347185,252096.34528969723,2.124097142746261,0.3897476037437363,12.077014522283921,3.5202638961651394,0.44582892770872895,352.02638961651394,0.1776298921063464,0.9933530256529921,0.6410135301657558,0.8751863134142613,0.6410135301657558,0.6255184130315296,0.8662422585890738,0.7264576593306156,50074,29978,7732,30900,gdna,kallisto,unknown,1.0,none,118684,57806,80052,9999999.999999998,10355894.278329069,7635613.980754387,64.33566429134834,2.687900483150507,501.22654206788167,10.141162397774425,0.9292816544651978,1014.1162397774425,0.742520555605052,0.663881305888575,0.7056671193566136,,,0.6255184130315296,0.8662422585890738,0.7264576593306156,50074,29978,7732,30900
118684,57806,55730,1000000.0000000001,984419.9984293648,86500.23568685491,0.7288281123559613,0.06104699761621465,4.702872153433571,0.7417955688219556,0.37013798826309385,74.17955688219557,0.07889265829277925,0.9977028135291607,0.8133595085172968,0.9740402107873367,0.8133595085172968,0.8157545307733716,0.7864581531328928,0.800838500563698,45462,10268,12344,50610,gdna_nrna,rigel/oracle_vbem,nrna,1.0,none,118684,57806,55730,10139172.053409524,10004774.0,7360227.564839255,62.01533117218206,0.8920869523282415,506.78441030006996,1.3080587276455304,0.8303367725658337,130.80587276455304,0.7187202787814179,0.6636500178583239,0.806967911419865,,,0.8157545307733716,0.7864581531328928,0.800838500563698,45462,10268,12344,50610
118684,57806,55884,1000000.0000000001,966500.3093230298,115571.71584867271,0.9737767167324384,0.06402006568193938,11.737161650458287,0.785914973720323,0.38054981435268487,78.59149737203231,0.1050229385439839,0.9853603497471878,0.8066780328638371,0.9696451459513633,0.8066780328638371,0.8100529668599241,0.7831193993703076,0.7963585187791363,45269,10615,12537,50263,gdna_nrna,rigel/star_vbem,nrna,1.0,none,118684,57806,55884,10139172.053409524,9930826.0,7384942.481423607,62.22357252387523,0.9262506607924396,512.2909370400635,1.3314401196268835,0.8356257544563639,133.14401196268835,0.7197022047741822,0.6543492453910392,0.8011805120327824,,,0.8100529668599241,0.7831193993703076,0.7963585187791363,45269,10615,12537,50263
118684,57806,53695,1000000.0000000001,839242.3139760001,370512.12295319495,3.1218371722658063,0.1087555,29.33209842288032,2.2125247065955262,0.7252138006069551,221.2524706595526,0.34875088333119497,0.9044681766632092,0.7250971801309326,0.8839470649786325,0.7250971801309326,0.7887699040879039,0.7326748088433727,0.7596882539170053,42353,11342,15453,49536,gdna_nrna,salmon,nrna,1.0,none,118684,57806,53695,10139172.053409524,9004779.794,8403769.91946419,70.80794310491886,1.0,556.167986266669,3.8610848829005073,1.0,386.10848829005073,0.808416783272543,0.5715921309070251,0.7263200977242656,,,0.7887699040879039,0.7326748088433727,0.7596882539170053,42353,11342,15453,49536
118684,57806,82188,1000000.0000000001,835842.4742589009,446995.69089674926,3.7662674909570732,0.405114,24.634958804935177,3.609054987508518,0.4906969678920382,360.9054987508518,0.3389633845836014,0.9680638990497328,0.626429180919407,0.8361319560628381,0.626429180919407,0.6173042293278824,0.8776770577448708,0.7248167778619083,50735,31453,7071,29425,gdna_nrna,kallisto,nrna,1.0,none,118684,57806,82188,10139172.053409524,10627185.90335823,8025627.024700368,67.62181106720676,3.0,513.7348646604877,12.315728518598005,0.9878646969040292,1231.5728518598005,0.7651358139075243,0.6519667997489628,0.7028333621430118,,,0.6173042293278824,0.8776770577448708,0.7248167778619083,50735,31453,7071,29425
