locus_idx,n_transcripts,n_units,n_components,n_equiv_classes,ec_total_elements,max_ec_width,max_ec_depth,squarem_iterations,estep_threads_used,is_mega_locus,digamma_calls_per_estep,extract_us,bias_us,build_ec_us,warm_start_us,squarem_us,assign_us,total_us,squarem_time_s,total_time_s,em_fraction,hit_max_iters,converged
7448,2,17784,3,1,53352,3,17784,5,1,False,3,9968.201,1291.544,22300.413,176.356,27698.537,2205.115,63640.166,0.027698537,0.063640166,0.4352367182700309,False,True
3448,16,5440,17,35,30308,14,2881,11,1,False,17,25254.528,721.869,21682.181,103.132,12164.215,1090.213,61016.138,0.012164215,0.061016138,0.1993606183334645,False,True
1299,21,8569,22,44,66965,16,4350,28,1,False,22,1636.803,1515.241,2238.703,204.875,52993.86,2175.91,60765.392,0.052993860000000004,0.060765392,0.8721059513612617,False,True
5592,40,2559,41,128,22670,23,299,88,1,False,41,640.532,534.119,588.351,75.168,56260.116,792.171,58890.457,0.056260116,0.058890457,0.9553350214280049,False,True
1082,16,8490,17,41,55005,13,3759,31,1,False,17,1257.774,1328.888,2227.3,164.954,52012.174,1818.183,58809.273,0.052012174,0.058809273,0.8844213054631708,False,True
4989,78,704,79,147,22334,77,38,70,1,False,79,26133.073,593.857,428.873,82.563,30506.277,656.063,58400.706,0.030506277,0.058400706,0.5223614420003758,False,True
1327,20,1841,21,42,18627,19,320,108,1,False,21,6236.917,484.569,422.776,59.598,50075.372,583.107,57862.339,0.050075372,0.057862339,0.8654225332992502,False,True
6914,1,6073,2,1,12146,2,6073,1,1,False,2,18801.013,322.499,35266.9,39.941,492.501,608.667,55531.521,0.000492501,0.055531521,0.00886885486172799,False,True
7466,23,4096,24,79,38742,22,724,54,1,False,24,922.841,961.964,892.611,125.516,51165.023,1234.059,55302.014,0.051165023000000004,0.055302014000000004,0.9251927606108522,False,True
5440,6,10366,7,11,41496,7,5009,13,1,False,7,18209.021,1010.934,9752.526,131.524,24447.944,1581.91,55133.859,0.024447944,0.05513385899999999,0.44342885557856565,False,True
