normalizer	rule	rho_ref	footprint_bp	weighted_bp	mean_A	gdna_eff_len	reduction_x	sat_bp_fraction	sat_weighted_fraction	sat_exon_opportunity_fraction
current_global_q95	saved global E-weighted Q95 with hard cap	0.000360860149874297	353318962.0	92291508.7797001	0.26121300780822543	92407282.74774715	3.828293270655837	0.1110314566134155	0.4250609781842541	1.0
global_q99	global E-weighted Q99 with hard cap	0.0013462107547083913	353318962.0	35899209.72800036	0.10160566963286946	35944243.05787998	9.841970468904815	0.020913143065330302	0.20582653646096236	0.19031838124518663
global_q99.5	global E-weighted Q99.5 with hard cap	0.002383095246213065	353318962.0	22792387.890499026	0.06450938200848395	22820979.526091952	15.501621141998926	0.012912907289702725	0.2001709966467278	0.15219527826962345
global_q99.9	global E-weighted Q99.9 with hard cap	0.006697830378199035	353318962.0	9487807.960092694	0.026853378902694427	9499709.82614876	37.23926153291873	0.002649022839595006	0.09864765433035345	0.046083364739079036
global_q99.95	global E-weighted Q99.95 with hard cap	0.010103087717116929	353318962.0	6514893.744152133	0.018439128506644184	6523066.273891199	54.23249800768346	0.0013759465307157785	0.07462101748572243	0.030340877476260797
global_max	global max rho_hat; bounding diagnostic	6.1226128249504805	353318962.0	41685.17768980398	0.00011798171672938398	41737.469157282474	8475.889550698024	0.0	0.0	2.3746003304028347e-06
class_q95	class-aware E-weighted Q95: INTERGENIC=8.506e-05; INTRON=4.863e-04; EXON-COMPOSITE=6.281e-03	0.006281447784770277	353318962.0	63120245.1729982	0.17864946963417774	63199425.60188493	5.597553701377954	0.0401047481850125	0.2244884816458475	0.050002171206878325
class_q99	class-aware E-weighted Q99: INTERGENIC=2.258e-04; INTRON=1.965e-03; EXON-COMPOSITE=4.101e-02	0.0410116608218863	353318962.0	19416034.271902725	0.054953275538896	19440390.481494676	18.197277417834695	0.007243188946083228	0.13180631864167022	0.010000358028581974
class_q99.5	class-aware E-weighted Q99.5: INTERGENIC=3.318e-04; INTRON=3.135e-03; EXON-COMPOSITE=8.543e-02	0.0854335026047969	353318962.0	12770684.904090842	0.036144917985157114	12786704.935462898	27.666406669138087	0.0036662991215286093	0.10143332246691422	0.0050002883895032485
class_q99.9	class-aware E-weighted Q99.9: INTERGENIC=1.183e-03; INTRON=7.885e-03; EXON-COMPOSITE=2.652e-01	0.2651845939647213	353318962.0	5436142.43863896	0.015385934589717718	5442961.741837182	64.99442683633214	0.000849461909151652	0.05521028990460806	0.0010000219974802313
soft_global_q95	diagnostic soft cap A=rho/(rho+rho_ref), rho_ref=current Q95	0.000360860149874297	353318962.0	65052887.74333787	0.1841194352408911	65134492.552345194	5.431257154855262	0.0	0.0	0.0
locus_q99	within-locus bp-weighted Q99 with hard cap	0.002932806270865859	353318962.0	19270255.563075636	0.05454067750565744	19294428.902327716	18.334939090118034	0.010001549251692866	0.1833777963366043	0.13170950268629167
locus_q99.9	within-locus bp-weighted Q99.9 with hard cap	0.012762456846211476	353318962.0	5242573.651141626	0.014838076115319352	5249150.134313229	67.39418184865387	0.0010000199196781292	0.06739552431906408	0.025178040298056373
locus_max	within-locus max rho_hat with hard cap	3.4951997199112403	353318962.0	48849.75009357156	0.00013825963321371798	48911.029072333724	7232.76907912975	2.2359400002992198e-07	0.001617203769695356	6.849127282758105e-06
