kappa_label	kappa_len	E	rho_hat_zero_over_rho_global
current_alpha_used_as_length	1.0	1.0	0.5
current_alpha_used_as_length	1.0	79.058764043167	0.012490824857860764
current_alpha_used_as_length	1.0	611.0546445151376	0.0016338410450135348
current_alpha_used_as_length	1.0	7843.247182169597	0.00012748195929789856
current_alpha_used_as_length	1.0	71240.03283915328	1.4036854326042436e-05
raw_alpha_over_rho_global	498.2999075078806	1.0	0.9979971957034977
raw_alpha_over_rho_global	498.2999075078806	79.058764043167	0.8630681967055605
raw_alpha_over_rho_global	498.2999075078806	611.0546445151376	0.4491800268896731
raw_alpha_over_rho_global	498.2999075078806	7843.247182169597	0.05973710897400773
raw_alpha_over_rho_global	498.2999075078806	71240.03283915328	0.0069460759461415335
clipped_alpha_over_rho_global	529.9166616622495	1.0	0.9981164652153333
clipped_alpha_over_rho_global	529.9166616622495	79.058764043167	0.8701774148741913
clipped_alpha_over_rho_global	529.9166616622495	611.0546445151376	0.46444346040360734
clipped_alpha_over_rho_global	529.9166616622495	7843.247182169597	0.06328750655615278
clipped_alpha_over_rho_global	529.9166616622495	71240.03283915328	0.007383545137595895
one_prior_fragment_over_rho	529.9166616622495	1.0	0.9981164652153333
one_prior_fragment_over_rho	529.9166616622495	79.058764043167	0.8701774148741913
one_prior_fragment_over_rho	529.9166616622495	611.0546445151376	0.46444346040360734
one_prior_fragment_over_rho	529.9166616622495	7843.247182169597	0.06328750655615278
one_prior_fragment_over_rho	529.9166616622495	71240.03283915328	0.007383545137595895
five_prior_fragments_over_rho	2649.583308311247	1.0	0.9996227245539258
five_prior_fragments_over_rho	2649.583308311247	79.058764043167	0.971026333998086
five_prior_fragments_over_rho	2649.583308311247	611.0546445151376	0.81259659816403
five_prior_fragments_over_rho	2649.583308311247	7843.247182169597	0.25251368643713096
five_prior_fragments_over_rho	2649.583308311247	71240.03283915328	0.035858669275306086
median_valid_E	611.0546445151376	1.0	0.9983661589549865
median_valid_E	611.0546445151376	79.058764043167	0.8854409100551657
median_valid_E	611.0546445151376	611.0546445151376	0.5
median_valid_E	611.0546445151376	7843.247182169597	0.07227736329290199
median_valid_E	611.0546445151376	71240.03283915328	0.008504459235276415
