label	n_regions	sum_y	sum_e	rho	sum_mu	sum_mu2	excess	raw_alpha	clipped_alpha	fallback_used	fallback_reason	beta_from_clipped_alpha	beta_from_raw_alpha	median_e	q90_e	q99_e
ALL	647987	5719368.815103848	3030788829.3150067	0.0018870891827843024	5719368.815103848	12027687025.830105	12790834716.63185	0.94033636524054	1.0	False		529.9166616622495	498.2999075078806	611.0546445151376	7843.247182169597	71240.03283915328
INTERGENIC	33120	10370.0	1308005750.7008893	7.928099700206425e-06	10370.000000000002	208222.3297438054	626342.5255704579	0.33244162936910826	1.0	False		126133.63073296908	41932.06971910967	11244.653057008822	84868.31571147015	337286.7606801043
INTRON	296039	301315.54418251116	1541887072.7065003	0.00019541998212204147	301315.54418251116	2469118.3616319154	14675963.026208544	0.1682423400237878	1.0	False		5117.183970344912	860.9270055030453	1231.430147203569	12463.319333553463	64422.4014995687
EXON-INTRON	318828	5407683.270921337	180896005.90761682	0.029893878771889683	5407683.270921338	94978965.18049371	674140503.2836939	0.14088897598921507	1.0	False		33.45166439024757	4.712970741076871	611.0546445151376	611.0546445151376	611.0546445151376
