boundary_group	n_regions	sum_y	sum_e	rho	raw_u_left	raw_u_right
all_eligible	318828	5407683.270921337	180896005.90761682	0.029893878771889683	3041596.0	2990505.0
internal_two_sides	273250	4988251.658956558	166970681.61376137	0.02987501524666135	2604720.0	2565410.0
terminal_one_side	45578	419431.61196477857	13925324.293855473	0.030120060625794694	436876.0	425095.0
ineligible_zero_sides	10229	0.0	0.0		106158.0	104677.0
left_only	22789	213417.91496921817	6962662.146927737	0.03065176946197059	219896.0	212617.0
right_only	22789	206013.6969955604	6962662.146927737	0.029588351789618803	216980.0	212478.0
