kappa_label	kappa_len	reference_label	rho_ref	rho_ref_over_current	rho_ref_over_rho_global
current_alpha_used_as_length	1.0	global_q950	0.0002132057904769226	1.0	0.11298130073659185
current_alpha_used_as_length	1.0	global_q990	0.05554876653685932	260.5406092048514	29.436216922668166
current_alpha_used_as_length	1.0	global_q999	0.2875885803103244	1348.8779064912544	152.39798041023283
current_alpha_used_as_length	1.0	global_max	1086.8548118762058	5097679.614821939	575942.4736209911
current_alpha_used_as_length	1.0	intergenic_q500	1.446213206622578e-08	6.783179778501917e-05	7.663724745052935e-06
current_alpha_used_as_length	1.0	intergenic_q950	2.537345174780936e-07	0.0011900920557106438	0.00013445814845047306
current_alpha_used_as_length	1.0	intergenic_q990	8.038862098299962e-05	0.377047081147174	0.04259926966694302
current_alpha_used_as_length	1.0	intergenic_q999	0.001251326756628764	5.869103056861899	0.6630988975213647
current_alpha_used_as_length	1.0	intergenic_max	52.97305723069403	248459.74920379958	28071.305645732667
current_alpha_used_as_length	1.0	intron_q500	1.1811269757295799e-07	0.000553984473445821	6.258988639778477e-05
current_alpha_used_as_length	1.0	intron_q950	0.00037956859370888235	1.7802921433785677	0.20113972205004563
current_alpha_used_as_length	1.0	intron_q990	0.002844985642272265	13.34384791289337	1.5076052940299491
current_alpha_used_as_length	1.0	intron_q999	0.01900637004508968	89.14565595321825	10.071792164611301
current_alpha_used_as_length	1.0	intron_max	1086.8548118762058	5097679.614821939	575942.4736209911
current_alpha_used_as_length	1.0	exon-intron_q500	3.083203762434042e-06	0.01446116334616047	0.0016338410450135348
current_alpha_used_as_length	1.0	exon-intron_q950	0.1927668533311797	904.135168655491	102.15036739639523
current_alpha_used_as_length	1.0	exon-intron_q990	0.33982728397448775	1593.8933141277448	180.08013986550978
current_alpha_used_as_length	1.0	exon-intron_q999	0.7418234079095852	3479.3773951926514	393.1045838623605
current_alpha_used_as_length	1.0	exon-intron_max	2.5617037392719957	12015.169632783845	1357.4894936827175
raw_alpha_over_rho_global	498.2999075078806	global_q950	0.0008476427698662644	3.975702385803697	0.4491800268896732
raw_alpha_over_rho_global	498.2999075078806	global_q990	0.03059466993969328	143.49830682954573	16.212625359100638
raw_alpha_over_rho_global	498.2999075078806	global_q999	0.15591037014785078	731.2670532966904	82.61950286727472
raw_alpha_over_rho_global	498.2999075078806	global_max	2.333269562215097	10943.743868286965	1236.4384171671625
raw_alpha_over_rho_global	498.2999075078806	intergenic_q500	7.179118233750389e-06	0.03367224791452114	0.0038043343681075908
raw_alpha_over_rho_global	498.2999075078806	intergenic_q950	8.800953970446091e-05	0.41279150771464185	0.04663772147461912
raw_alpha_over_rho_global	498.2999075078806	intergenic_q990	0.0002711714556635137	1.2718765989278575	0.14369827252330186
raw_alpha_over_rho_global	498.2999075078806	intergenic_q999	0.0013574299641237405	6.366759369374017	0.7193247550287596
raw_alpha_over_rho_global	498.2999075078806	intergenic_max	0.12796067309984693	600.1744737495645	67.80849271312529
raw_alpha_over_rho_global	498.2999075078806	intron_q500	5.229529531432273e-05	0.24528083968705894	0.02771214831360738
raw_alpha_over_rho_global	498.2999075078806	intron_q950	0.0007267867365032952	3.408850833167041	0.3851364011482271
raw_alpha_over_rho_global	498.2999075078806	intron_q990	0.0026559469863305534	12.45719912385791	1.407430560548199
raw_alpha_over_rho_global	498.2999075078806	intron_q999	0.012462066767864786	58.450883252224244	6.603856819038967
raw_alpha_over_rho_global	498.2999075078806	intron_max	2.333269562215097	10943.743868286965	1236.4384171671625
raw_alpha_over_rho_global	498.2999075078806	exon-intron_q500	0.0008476427698662644	3.975702385803697	0.4491800268896732
raw_alpha_over_rho_global	498.2999075078806	exon-intron_q950	0.10363991207400372	486.10270782125735	54.920516221225114
raw_alpha_over_rho_global	498.2999075078806	exon-intron_q990	0.18472074011475925	866.3964505914928	97.88659794139319
raw_alpha_over_rho_global	498.2999075078806	exon-intron_q999	0.4046142528703807	1897.7639020276804	214.41183414203738
raw_alpha_over_rho_global	498.2999075078806	exon-intron_max	1.4141927104444114	6632.9939129748145	749.4042800657907
clipped_alpha_over_rho_global	529.9166616622495	global_q950	0.0008764462301425569	4.110799374548054	0.46444346040360734
clipped_alpha_over_rho_global	529.9166616622495	global_q990	0.029899017466526456	140.23548516034666	15.843987522842987
clipped_alpha_over_rho_global	529.9166616622495	global_q999	0.15164232573520303	711.2486269532947	80.35779502029821
clipped_alpha_over_rho_global	529.9166616622495	global_max	2.1941889297788477	10291.413403316299	1162.737272724671
clipped_alpha_over_rho_global	529.9166616622495	intergenic_q500	7.632785465116457e-06	0.035800085204264795	0.0040447401928586525
clipped_alpha_over_rho_global	529.9166616622495	intergenic_q950	9.283243154441469e-05	0.4354123372388559	0.04919345221800553
clipped_alpha_over_rho_global	529.9166616622495	intergenic_q990	0.0002817496121550223	1.3214913700269264	0.14930381389782293
clipped_alpha_over_rho_global	529.9166616622495	intergenic_q999	0.0013580797511672132	6.3698070682288135	0.719669088009628
clipped_alpha_over_rho_global	529.9166616622495	intergenic_max	0.12067270451790556	565.9916845971741	63.94647673188356
clipped_alpha_over_rho_global	529.9166616622495	intron_q500	5.531311429546534e-05	0.25943532852337065	0.02931134087359544
clipped_alpha_over_rho_global	529.9166616622495	intron_q950	0.0007455128897062976	3.4966821869080142	0.395059701739338
clipped_alpha_over_rho_global	529.9166616622495	intron_q990	0.002650187590432817	12.430185805482019	1.4043785607008792
clipped_alpha_over_rho_global	529.9166616622495	intron_q999	0.012232891022160594	57.37597930523694	6.482412772941444
clipped_alpha_over_rho_global	529.9166616622495	intron_max	2.1941889297788477	10291.413403316299	1162.737272724671
clipped_alpha_over_rho_global	529.9166616622495	exon-intron_q500	0.0008764462301425569	4.110799374548054	0.46444346040360734
clipped_alpha_over_rho_global	529.9166616622495	exon-intron_q950	0.10082030217807829	472.8778798763023	53.42635795798646
clipped_alpha_over_rho_global	529.9166616622495	exon-intron_q990	0.17964776159693707	842.6026384887616	95.19834210054455
clipped_alpha_over_rho_global	529.9166616622495	exon-intron_q999	0.39345452811949605	1845.4213989187294	208.498110056979
clipped_alpha_over_rho_global	529.9166616622495	exon-intron_max	1.3750571779586191	6449.436363256069	728.6657093385451
one_prior_fragment_over_rho	529.9166616622495	global_q950	0.0008764462301425569	4.110799374548054	0.46444346040360734
one_prior_fragment_over_rho	529.9166616622495	global_q990	0.029899017466526456	140.23548516034666	15.843987522842987
one_prior_fragment_over_rho	529.9166616622495	global_q999	0.15164232573520303	711.2486269532947	80.35779502029821
