flowcell	true_source	fragments	mean_read_length	pred_rna	pred_gdna	pred_unresolved	pred_mrna	pred_nrna	pred_gdna_detail	pred_unresolved_detail	pred_rna_rate	pred_gdna_rate	pred_unresolved_rate
C6EL5ANXX	rna	13989924	124.6	13356978	508599	124347	12860866	496112	508599	124347	0.9547570094019096	0.036354664971732516	0.008888325626357942
H7MFFDSXY	gdna	18228677	149.4	2393558	15538657	296462	1062195	1331363	15538657	296462	0.1313072802815037	0.852429224567422	0.016263495151074323
