flowcell	true_source	zf	count
C6EL5ANXX	rna	25	220733
C6EL5ANXX	rna	3	12860866
C6EL5ANXX	rna	37	9491
C6EL5ANXX	rna	5	499108
C6EL5ANXX	rna	64	26214
C6EL5ANXX	rna	9	275379
C6EL5ANXX	rna	missing	98133
H7MFFDSXY	gdna	25	1204540
H7MFFDSXY	gdna	3	1062195
H7MFFDSXY	gdna	37	284257
H7MFFDSXY	gdna	5	15254400
H7MFFDSXY	gdna	64	148604
H7MFFDSXY	gdna	9	126823
H7MFFDSXY	gdna	missing	147858
