true_source	predicted_pool	count	row_rate
gdna	mrna	1062195	0.0582705481039573
gdna	nrna	1331363	0.0730367321775464
gdna	gdna	15538657	0.852429224567422
gdna	unresolved	296462	0.016263495151074323
rna	mrna	12860866	0.9192949153976819
rna	nrna	496112	0.03546209400422761
rna	gdna	508599	0.036354664971732516
rna	unresolved	124347	0.008888325626357942
