strand_specificity	n_rna_fragments	gdna_fraction	TA1	NTA1	TD	TE	NTD	NTE	gdna	TA1_expected	TD_expected	TE_expected	TA1_observed	TD_observed	TE_observed	TA1_abs_diff	TD_abs_diff	TE_abs_diff	TA1_rel_err	TD_rel_err	TE_rel_err	nrna_expected	nrna_observed	nrna_abs_diff	nrna_rel_err	gdna_expected	gdna_observed	gdna_abs_diff	total_mrna_expected	total_mrna_observed	total_mrna_rel_err	total_rna_expected	total_rna_observed	total_rna_rel_err	n_fragments_actual	n_intergenic	n_chimeric	rna_fl_true_mean	rna_fl_est_mean	rna_fl_mean_err	rna_fl_true_std	rna_fl_est_std	gdna_fl_true_mean	gdna_fl_est_mean	gdna_fl_mean_err	gdna_fl_true_std	gdna_fl_est_std	rna_fl_n_obs	gdna_fl_n_obs
0.5	10000	0.0	5	1000	0	0	0	0	0	5	0	0	0.37	0.0	0.0	4.63	0.0	0.0	0.9269	0.0	0.0	9995	9999.63	4.63	0.0005	0	0.0	0.0	5	0.37	0.9269	10000	10000.0	0.0	10000	0	0	250	249.03	-0.97	50	50.21	250			50		10000	0
0.5	10000	0.0	10	0	0	0	0	0	0	10000	0	0	10000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	10000	10000.0	0.0	10000	10000.0	0.0	10000	0	0	250	251.24	1.24	50	65.94	250			50		10000	0
0.5	10000	0.0	10	5	0	0	0	0	0	1778	0	0	1107.69	0.0	0.0	670.31	0.0	0.0	0.377	0.0	0.0	8222	0.46	8221.54	0.9999	0	8891.85	8891.85	1778	1107.69	0.377	10000	1108.15	0.8892	10000	0	0	250	258.1	8.1	50	48.2	250	248.83	-1.17	50	53.89	378	9595
0.5	10000	0.0	10	10	0	0	0	0	0	976	0	0	427.25	0.0	0.0	548.75	0.0	0.0	0.5622	0.0	0.0	9024	0.36	9023.64	1.0	0	9572.39	9572.39	976	427.25	0.5622	10000	427.61	0.9572	10000	0	0	250	258.11	8.11	50	47.25	250	248.89	-1.11	50	51.75	208	9466
0.5	10000	0.0	10	20	0	0	0	0	0	513	0	0	177.31	0.0	0.0	335.69	0.0	0.0	0.6544	0.0	0.0	9487	0.29	9486.71	1.0	0	9822.4	9822.4	513	177.31	0.6544	10000	177.6	0.9822	10000	0	0	250	263.44	13.44	50	50.87	250	249.34	-0.66	50	51.24	114	9710
0.5	10000	0.0	10	50	0	0	0	0	0	212	0	0	55.23	0.0	0.0	156.77	0.0	0.0	0.7395	0.0	0.0	9788	0.24	9787.76	1.0	0	9944.53	9944.53	212	55.23	0.7395	10000	55.47	0.9945	10000	0	0	250	251.77	1.77	50	36.86	250	249.05	-0.95	50	50.08	39	9686
0.5	10000	0.0	10	100	0	0	0	0	0	107	0	0	23.39	0.0	0.0	83.61	0.0	0.0	0.7814	0.0	0.0	9893	0.23	9892.77	1.0	0	9976.38	9976.38	107	23.39	0.7814	10000	23.62	0.9976	10000	0	0	250	236.06	-13.94	50	39.0	250	248.97	-1.03	50	50.16	17	8392
0.5	10000	0.0	10	200	0	0	0	0	0	54	0	0	22.16	0.0	0.0	31.84	0.0	0.0	0.5897	0.0	0.0	9946	0.23	9945.77	1.0	0	9977.61	9977.61	54	22.16	0.5897	10000	22.39	0.9978	10000	0	0	250	249.43	-0.57	50	39.41	250	249.19	-0.81	50	51.39	14	9980
0.5	10000	0.0	10	500	0	0	0	0	0	22	0	0	10.46	0.0	0.0	11.54	0.0	0.0	0.5247	0.0	0.0	9978	0.22	9977.78	1.0	0	9989.32	9989.32	22	10.46	0.5247	10000	10.68	0.9989	10000	0	0	250	250.0	0.0	50	36.88	250	249.04	-0.96	50	50.29	8	9605
0.5	10000	0.0	10	1000	0	0	0	0	0	11	0	0	2.66	0.0	0.0	8.34	0.0	0.0	0.7586	0.0	0.0	9989	0.21	9988.79	1.0	0	9997.13	9997.13	11	2.66	0.7586	10000	2.87	0.9997	10000	0	0	250	250.0	0.0	50	43.0	250	249.02	-0.98	50	50.23	2	9905
0.5	10000	0.0	20	0	0	0	0	0	0	10000	0	0	10000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	10000	10000.0	0.0	10000	10000.0	0.0	10000	0	0	250	251.24	1.24	50	65.94	250			50		10000	0
0.5	10000	0.0	20	5	0	0	0	0	0	3020	0	0	2461.77	0.0	0.0	558.23	0.0	0.0	0.1848	0.0	0.0	6980	0.65	6979.35	0.9999	0	7537.58	7537.58	3020	2461.77	0.1848	10000	2462.42	0.7538	10000	0	0	250	258.77	8.77	50	49.46	250	249.67	-0.33	50	53.85	663	9201
0.5	10000	0.0	20	10	0	0	0	0	0	1778	0	0	1107.69	0.0	0.0	670.31	0.0	0.0	0.377	0.0	0.0	8222	0.46	8221.54	0.9999	0	8891.85	8891.85	1778	1107.69	0.377	10000	1108.15	0.8892	10000	0	0	250	258.1	8.1	50	48.2	250	248.83	-1.17	50	53.89	378	9595
0.5	10000	0.0	20	20	0	0	0	0	0	976	0	0	427.25	0.0	0.0	548.75	0.0	0.0	0.5622	0.0	0.0	9024	0.36	9023.64	1.0	0	9572.39	9572.39	976	427.25	0.5622	10000	427.61	0.9572	10000	0	0	250	258.11	8.11	50	47.25	250	248.89	-1.11	50	51.75	208	9466
0.5	10000	0.0	20	50	0	0	0	0	0	415	0	0	417.36	0.0	0.0	2.36	0.0	0.0	0.0057	0.0	0.0	9585	9582.17	2.83	0.0003	0	0.48	0.48	415	417.36	0.0057	10000	9999.52	0.0	10000	0	0	250	250.47	0.47	50	50.36	250			50		389	0
0.5	10000	0.0	20	100	0	0	0	0	0	212	0	0	55.23	0.0	0.0	156.77	0.0	0.0	0.7395	0.0	0.0	9788	0.24	9787.76	1.0	0	9944.53	9944.53	212	55.23	0.7395	10000	55.47	0.9945	10000	0	0	250	251.77	1.77	50	36.86	250	249.05	-0.95	50	50.08	39	9686
0.5	10000	0.0	20	200	0	0	0	0	0	107	0	0	23.39	0.0	0.0	83.61	0.0	0.0	0.7814	0.0	0.0	9893	0.23	9892.77	1.0	0	9976.38	9976.38	107	23.39	0.7814	10000	23.62	0.9976	10000	0	0	250	236.06	-13.94	50	39.0	250	248.97	-1.03	50	50.16	17	8392
0.5	10000	0.0	20	500	0	0	0	0	0	43	0	0	9.34	0.0	0.0	33.66	0.0	0.0	0.7827	0.0	0.0	9957	0.22	9956.78	1.0	0	9990.44	9990.44	43	9.34	0.7827	10000	9.56	0.999	10000	0	0	250	267.71	17.71	50	34.48	250	249.03	-0.97	50	50.32	7	9895
0.5	10000	0.0	20	1000	0	0	0	0	0	22	0	0	10.46	0.0	0.0	11.54	0.0	0.0	0.5247	0.0	0.0	9978	0.22	9977.78	1.0	0	9989.32	9989.32	22	10.46	0.5247	10000	10.68	0.9989	10000	0	0	250	250.0	0.0	50	36.88	250	249.04	-0.96	50	50.29	8	9605
0.5	10000	0.0	50	0	0	0	0	0	0	10000	0	0	10000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	10000	10000.0	0.0	10000	10000.0	0.0	10000	0	0	250	251.24	1.24	50	65.94	250			50		10000	0
0.5	10000	0.0	50	5	0	0	0	0	0	5196	0	0	4857.43	0.0	0.0	338.57	0.0	0.0	0.0652	0.0	0.0	4804	0.9	4803.1	0.9998	0	5141.67	5141.67	5196	4857.43	0.0652	10000	4858.33	0.5142	10000	0	0	250	259.37	9.37	50	48.95	250	249.33	-0.67	50	59.16	1058	8763
0.5	10000	0.0	50	10	0	0	0	0	0	3510	0	0	3532.71	0.0	0.0	22.71	0.0	0.0	0.0065	0.0	0.0	6490	6467.29	22.71	0.0035	0	0.0	0.0	3510	3532.71	0.0065	10000	10000.0	0.0	10000	0	0	250	251.2	1.2	50	54.9	250			50		10000	0
0.5	10000	0.0	50	20	0	0	0	0	0	2128	0	0	1405.04	0.0	0.0	722.96	0.0	0.0	0.3397	0.0	0.0	7872	0.5	7871.5	0.9999	0	8594.46	8594.46	2128	1405.04	0.3397	10000	1405.54	0.8594	10000	0	0	250	256.02	6.02	50	46.9	250	248.9	-1.1	50	55.12	435	9355
0.5	10000	0.0	50	50	0	0	0	0	0	976	0	0	427.25	0.0	0.0	548.75	0.0	0.0	0.5622	0.0	0.0	9024	0.36	9023.64	1.0	0	9572.39	9572.39	976	427.25	0.5622	10000	427.61	0.9572	10000	0	0	250	258.11	8.11	50	47.25	250	248.89	-1.11	50	51.75	208	9466
0.5	10000	0.0	50	100	0	0	0	0	0	513	0	0	177.31	0.0	0.0	335.69	0.0	0.0	0.6544	0.0	0.0	9487	0.29	9486.71	1.0	0	9822.4	9822.4	513	177.31	0.6544	10000	177.6	0.9822	10000	0	0	250	263.44	13.44	50	50.87	250	249.34	-0.66	50	51.24	114	9710
0.5	10000	0.0	50	200	0	0	0	0	0	263	0	0	90.4	0.0	0.0	172.6	0.0	0.0	0.6563	0.0	0.0	9737	0.25	9736.75	1.0	0	9909.35	9909.35	263	90.4	0.6563	10000	90.65	0.9909	10000	0	0	250	254.62	4.62	50	35.66	250	249.14	-0.86	50	51.36	60	9603
0.5	10000	0.0	50	500	0	0	0	0	0	107	0	0	23.39	0.0	0.0	83.61	0.0	0.0	0.7814	0.0	0.0	9893	0.23	9892.77	1.0	0	9976.38	9976.38	107	23.39	0.7814	10000	23.62	0.9976	10000	0	0	250	236.06	-13.94	50	39.0	250	248.97	-1.03	50	50.16	17	8392
0.5	10000	0.0	50	1000	0	0	0	0	0	54	0	0	22.16	0.0	0.0	31.84	0.0	0.0	0.5897	0.0	0.0	9946	0.23	9945.77	1.0	0	9977.61	9977.61	54	22.16	0.5897	10000	22.39	0.9978	10000	0	0	250	249.43	-0.57	50	39.41	250	249.19	-0.81	50	51.39	14	9980
0.5	10000	0.0	100	0	0	0	0	0	0	10000	0	0	10000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	10000	10000.0	0.0	10000	10000.0	0.0	10000	0	0	250	251.24	1.24	50	65.94	250			50		10000	0
0.5	10000	0.0	100	5	0	0	0	0	0	6839	0	0	6655.28	0.0	0.0	183.72	0.0	0.0	0.0269	0.0	0.0	3161	1.15	3159.85	0.9996	0	3343.57	3343.57	6839	6655.28	0.0269	10000	6656.43	0.3344	10000	0	0	250	260.83	10.83	50	48.33	250	249.04	-0.96	50	63.41	1437	8315
0.5	10000	0.0	100	10	0	0	0	0	0	5196	0	0	4857.43	0.0	0.0	338.57	0.0	0.0	0.0652	0.0	0.0	4804	0.9	4803.1	0.9998	0	5141.67	5141.67	5196	4857.43	0.0652	10000	4858.33	0.5142	10000	0	0	250	259.37	9.37	50	48.95	250	249.33	-0.67	50	59.16	1058	8763
0.5	10000	0.0	100	20	0	0	0	0	0	3510	0	0	3532.71	0.0	0.0	22.71	0.0	0.0	0.0065	0.0	0.0	6490	6467.29	22.71	0.0035	0	0.0	0.0	3510	3532.71	0.0065	10000	10000.0	0.0	10000	0	0	250	251.2	1.2	50	54.9	250			50		10000	0
0.5	10000	0.0	100	50	0	0	0	0	0	1778	0	0	1107.69	0.0	0.0	670.31	0.0	0.0	0.377	0.0	0.0	8222	0.46	8221.54	0.9999	0	8891.85	8891.85	1778	1107.69	0.377	10000	1108.15	0.8892	10000	0	0	250	258.1	8.1	50	48.2	250	248.83	-1.17	50	53.89	378	9595
0.5	10000	0.0	100	100	0	0	0	0	0	976	0	0	427.25	0.0	0.0	548.75	0.0	0.0	0.5622	0.0	0.0	9024	0.36	9023.64	1.0	0	9572.39	9572.39	976	427.25	0.5622	10000	427.61	0.9572	10000	0	0	250	258.11	8.11	50	47.25	250	248.89	-1.11	50	51.75	208	9466
0.5	10000	0.0	100	200	0	0	0	0	0	513	0	0	177.31	0.0	0.0	335.69	0.0	0.0	0.6544	0.0	0.0	9487	0.29	9486.71	1.0	0	9822.4	9822.4	513	177.31	0.6544	10000	177.6	0.9822	10000	0	0	250	263.44	13.44	50	50.87	250	249.34	-0.66	50	51.24	114	9710
0.5	10000	0.0	100	500	0	0	0	0	0	212	0	0	55.23	0.0	0.0	156.77	0.0	0.0	0.7395	0.0	0.0	9788	0.24	9787.76	1.0	0	9944.53	9944.53	212	55.23	0.7395	10000	55.47	0.9945	10000	0	0	250	251.77	1.77	50	36.86	250	249.05	-0.95	50	50.08	39	9686
0.5	10000	0.0	100	1000	0	0	0	0	0	107	0	0	23.39	0.0	0.0	83.61	0.0	0.0	0.7814	0.0	0.0	9893	0.23	9892.77	1.0	0	9976.38	9976.38	107	23.39	0.7814	10000	23.62	0.9976	10000	0	0	250	236.06	-13.94	50	39.0	250	248.97	-1.03	50	50.16	17	8392
0.5	10000	0.0	200	0	0	0	0	0	0	10000	0	0	10000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	10000	10000.0	0.0	10000	10000.0	0.0	10000	0	0	250	251.24	1.24	50	65.94	250			50		10000	0
0.5	10000	0.0	200	5	0	0	0	0	0	8123	0	0	8073.7	0.0	0.0	49.3	0.0	0.0	0.0061	0.0	0.0	1877	2.19	1874.81	0.9988	0	1924.11	1924.11	8123	8073.7	0.0061	10000	8075.89	0.1924	10000	0	0	250	259.27	9.27	50	48.48	250	249.4	-0.6	50	65.82	1691	3920
0.5	10000	0.0	200	10	0	0	0	0	0	6839	0	0	6655.28	0.0	0.0	183.72	0.0	0.0	0.0269	0.0	0.0	3161	1.15	3159.85	0.9996	0	3343.57	3343.57	6839	6655.28	0.0269	10000	6656.43	0.3344	10000	0	0	250	260.83	10.83	50	48.33	250	249.04	-0.96	50	63.41	1437	8315
0.5	10000	0.0	200	20	0	0	0	0	0	5196	0	0	4857.43	0.0	0.0	338.57	0.0	0.0	0.0652	0.0	0.0	4804	0.9	4803.1	0.9998	0	5141.67	5141.67	5196	4857.43	0.0652	10000	4858.33	0.5142	10000	0	0	250	259.37	9.37	50	48.95	250	249.33	-0.67	50	59.16	1058	8763
0.5	10000	0.0	200	50	0	0	0	0	0	3020	0	0	2461.77	0.0	0.0	558.23	0.0	0.0	0.1848	0.0	0.0	6980	0.65	6979.35	0.9999	0	7537.58	7537.58	3020	2461.77	0.1848	10000	2462.42	0.7538	10000	0	0	250	258.77	8.77	50	49.46	250	249.67	-0.33	50	53.85	663	9201
0.5	10000	0.0	200	100	0	0	0	0	0	1778	0	0	1107.69	0.0	0.0	670.31	0.0	0.0	0.377	0.0	0.0	8222	0.46	8221.54	0.9999	0	8891.85	8891.85	1778	1107.69	0.377	10000	1108.15	0.8892	10000	0	0	250	258.1	8.1	50	48.2	250	248.83	-1.17	50	53.89	378	9595
0.5	10000	0.0	200	200	0	0	0	0	0	976	0	0	427.25	0.0	0.0	548.75	0.0	0.0	0.5622	0.0	0.0	9024	0.36	9023.64	1.0	0	9572.39	9572.39	976	427.25	0.5622	10000	427.61	0.9572	10000	0	0	250	258.11	8.11	50	47.25	250	248.89	-1.11	50	51.75	208	9466
0.5	10000	0.0	200	500	0	0	0	0	0	415	0	0	417.36	0.0	0.0	2.36	0.0	0.0	0.0057	0.0	0.0	9585	9582.17	2.83	0.0003	0	0.48	0.48	415	417.36	0.0057	10000	9999.52	0.0	10000	0	0	250	250.47	0.47	50	50.36	250			50		389	0
0.5	10000	0.0	200	1000	0	0	0	0	0	212	0	0	55.23	0.0	0.0	156.77	0.0	0.0	0.7395	0.0	0.0	9788	0.24	9787.76	1.0	0	9944.53	9944.53	212	55.23	0.7395	10000	55.47	0.9945	10000	0	0	250	251.77	1.77	50	36.86	250	249.05	-0.95	50	50.08	39	9686
0.5	10000	0.0	500	0	0	0	0	0	0	10000	0	0	10000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	10000	10000.0	0.0	10000	10000.0	0.0	10000	0	0	250	251.24	1.24	50	65.94	250			50		10000	0
0.5	10000	0.0	500	5	0	0	0	0	0	9154	0	0	9118.94	0.0	0.0	35.06	0.0	0.0	0.0038	0.0	0.0	846	1.64	844.36	0.9981	0	879.41	879.41	9154	9118.94	0.0038	10000	9120.59	0.0879	10000	0	0	250	257.4	7.4	50	49.21	250	250.17	0.17	50	69.7	1947	7997
0.5	10000	0.0	500	10	0	0	0	0	0	8439	0	0	8433.77	0.0	0.0	5.23	0.0	0.0	0.0006	0.0	0.0	1561	1566.23	5.23	0.0034	0	0.0	0.0	8439	8433.77	0.0006	10000	10000.0	0.0	10000	0	0	250	251.43	1.43	50	63.13	250			50		8002	0
0.5	10000	0.0	500	20	0	0	0	0	0	7300	0	0	7302.62	0.0	0.0	2.62	0.0	0.0	0.0004	0.0	0.0	2700	2697.38	2.62	0.001	0	0.0	0.0	7300	7302.62	0.0004	10000	10000.0	0.0	10000	0	0	250	259.73	9.73	50	48.06	250	250.06	0.06	50	66.58	1547	8338
0.5	10000	0.0	500	50	0	0	0	0	0	5196	0	0	4857.43	0.0	0.0	338.57	0.0	0.0	0.0652	0.0	0.0	4804	0.9	4803.1	0.9998	0	5141.67	5141.67	5196	4857.43	0.0652	10000	4858.33	0.5142	10000	0	0	250	259.37	9.37	50	48.95	250	249.33	-0.67	50	59.16	1058	8763
0.5	10000	0.0	500	100	0	0	0	0	0	3510	0	0	3532.71	0.0	0.0	22.71	0.0	0.0	0.0065	0.0	0.0	6490	6467.29	22.71	0.0035	0	0.0	0.0	3510	3532.71	0.0065	10000	10000.0	0.0	10000	0	0	250	251.2	1.2	50	54.9	250			50		10000	0
0.5	10000	0.0	500	200	0	0	0	0	0	2128	0	0	1405.04	0.0	0.0	722.96	0.0	0.0	0.3397	0.0	0.0	7872	0.5	7871.5	0.9999	0	8594.46	8594.46	2128	1405.04	0.3397	10000	1405.54	0.8594	10000	0	0	250	256.02	6.02	50	46.9	250	248.9	-1.1	50	55.12	435	9355
0.5	10000	0.0	500	500	0	0	0	0	0	976	0	0	427.25	0.0	0.0	548.75	0.0	0.0	0.5622	0.0	0.0	9024	0.36	9023.64	1.0	0	9572.39	9572.39	976	427.25	0.5622	10000	427.61	0.9572	10000	0	0	250	258.11	8.11	50	47.25	250	248.89	-1.11	50	51.75	208	9466
0.5	10000	0.0	500	1000	0	0	0	0	0	513	0	0	177.31	0.0	0.0	335.69	0.0	0.0	0.6544	0.0	0.0	9487	0.29	9486.71	1.0	0	9822.4	9822.4	513	177.31	0.6544	10000	177.6	0.9822	10000	0	0	250	263.44	13.44	50	50.87	250	249.34	-0.66	50	51.24	114	9710
0.5	10000	0.0	1000	0	0	0	0	0	0	10000	0	0	10000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	10000	10000.0	0.0	10000	10000.0	0.0	10000	0	0	250	251.24	1.24	50	65.94	250			50		10000	0
0.5	10000	0.0	1000	5	0	0	0	0	0	9558	0	0	9548.44	0.0	0.0	9.56	0.0	0.0	0.001	0.0	0.0	442	1.55	440.45	0.9965	0	450.01	450.01	9558	9548.44	0.001	10000	9549.99	0.045	10000	0	0	250	258.06	8.06	50	48.36	250	249.49	-0.51	50	69.28	1946	7814
0.5	10000	0.0	1000	10	0	0	0	0	0	9154	0	0	9118.94	0.0	0.0	35.06	0.0	0.0	0.0038	0.0	0.0	846	1.64	844.36	0.9981	0	879.41	879.41	9154	9118.94	0.0038	10000	9120.59	0.0879	10000	0	0	250	257.4	7.4	50	49.21	250	250.17	0.17	50	69.7	1947	7997
0.5	10000	0.0	1000	20	0	0	0	0	0	8439	0	0	8433.77	0.0	0.0	5.23	0.0	0.0	0.0006	0.0	0.0	1561	1566.23	5.23	0.0034	0	0.0	0.0	8439	8433.77	0.0006	10000	10000.0	0.0	10000	0	0	250	251.43	1.43	50	63.13	250			50		8002	0
0.5	10000	0.0	1000	50	0	0	0	0	0	6839	0	0	6655.28	0.0	0.0	183.72	0.0	0.0	0.0269	0.0	0.0	3161	1.15	3159.85	0.9996	0	3343.57	3343.57	6839	6655.28	0.0269	10000	6656.43	0.3344	10000	0	0	250	260.83	10.83	50	48.33	250	249.04	-0.96	50	63.41	1437	8315
0.5	10000	0.0	1000	100	0	0	0	0	0	5196	0	0	4857.43	0.0	0.0	338.57	0.0	0.0	0.0652	0.0	0.0	4804	0.9	4803.1	0.9998	0	5141.67	5141.67	5196	4857.43	0.0652	10000	4858.33	0.5142	10000	0	0	250	259.37	9.37	50	48.95	250	249.33	-0.67	50	59.16	1058	8763
