strand_specificity	n_rna_fragments	gdna_fraction	TA1	NTA1	TD	TE	NTD	NTE	gdna	TA1_expected	TD_expected	TE_expected	TA1_observed	TD_observed	TE_observed	TA1_abs_diff	TD_abs_diff	TE_abs_diff	TA1_rel_err	TD_rel_err	TE_rel_err	nrna_expected	nrna_observed	nrna_abs_diff	nrna_rel_err	gdna_expected	gdna_observed	gdna_abs_diff	total_mrna_expected	total_mrna_observed	total_mrna_rel_err	total_rna_expected	total_rna_observed	total_rna_rel_err	n_fragments_actual	n_intergenic	n_chimeric	rna_fl_true_mean	rna_fl_est_mean	rna_fl_mean_err	rna_fl_true_std	rna_fl_est_std	gdna_fl_true_mean	gdna_fl_est_mean	gdna_fl_mean_err	gdna_fl_true_std	gdna_fl_est_std	rna_fl_n_obs	gdna_fl_n_obs	cal_kappa_true	cal_kappa_est	cal_kappa_err	cal_density_est	cal_gdna_fl_true_mean	cal_gdna_fl_est_mean	cal_gdna_fl_mean_err	cal_gdna_fl_true_std	cal_gdna_fl_est_std	cal_n_seed	cal_n_iterations	cal_converged	cal_mean_weight	cal_n_regions
0.5	10000	0.0	5	100	0	0	0	0	0	54	0	0	22.16	0.0	0.0	31.84	0.0	0.0	0.5897	0.0	0.0	9946	0.23	9945.77	1.0	0	9977.61	9977.61	54	22.16	0.5897	10000	22.39	0.9978	10000	0	0	250	249.43	-0.57	50	39.41	250.0	249.19	-0.81	50.0	51.39	14	9980		50.0		8.1000e-01	250.0	247.21	-2.79	50.0	49.84	1	1	True	0.4147	13
0.5	10000	0.0	5	200	0	0	0	0	0	27	0	0	5.36	0.0	0.0	21.64	0.0	0.0	0.8013	0.0	0.0	9973	0.22	9972.78	1.0	0	9994.42	9994.42	27	5.36	0.8013	10000	5.58	0.9994	10000	0	0	250	255.5	5.5	50	15.79	250.0	249.04	-0.96	50.0	50.31	4	9996		50.0		8.1247e-01	250.0	247.19	-2.81	50.0	50.09	1	1	True	0.4013	13
0.5	10000	0.0	5	500	0	0	0	0	0	11	0	0	2.66	0.0	0.0	8.34	0.0	0.0	0.7586	0.0	0.0	9989	0.21	9988.79	1.0	0	9997.13	9997.13	11	2.66	0.7586	10000	2.87	0.9997	10000	0	0	250	250.0	0.0	50	43.0	250.0	249.02	-0.98	50.0	50.23	2	9905		50.0		7.8077e-01	250.0	246.14	-3.86	50.0	49.91	1	1	True	0.423	13
0.5	10000	0.0	5	1000	0	0	0	0	0	5	0	0	0.37	0.0	0.0	4.63	0.0	0.0	0.9269	0.0	0.0	9995	9999.63	4.63	0.0005	0	0.0	0.0	5	0.37	0.9269	10000	10000.0	0.0	10000	0	0	250	249.03	-0.97	50	50.21	250.0			50.0		10000	0		50.0		7.4672e-01	250.0	243.87	-6.13	50.0	52.11	2	1	True	0.4125	13
0.5	10000	0.0	10	0	0	0	0	0	0	10000	0	0	10000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	10000	10000.0	0.0	10000	10000.0	0.0	10000	0	0	250	251.24	1.24	50	65.94	250.0			50.0		10000	0		50.0		5.6830e+00	250.0	247.1	-2.9	50.0	50.4	0	1	True	0.4127	13
0.5	10000	0.0	10	5	0	0	0	0	0	1778	0	0	1107.69	0.0	0.0	670.31	0.0	0.0	0.377	0.0	0.0	8222	0.46	8221.54	0.9999	0	8891.85	8891.85	1778	1107.69	0.377	10000	1108.15	0.8892	10000	0	0	250	258.1	8.1	50	48.2	250.0	248.83	-1.17	50.0	53.89	378	9595		50.0		6.8458e-01	250.0	248.86	-1.14	50.0	49.58	1	1	True	0.3413	13
0.5	10000	0.0	10	10	0	0	0	0	0	976	0	0	427.25	0.0	0.0	548.75	0.0	0.0	0.5622	0.0	0.0	9024	0.36	9023.64	1.0	0	9572.39	9572.39	976	427.25	0.5622	10000	427.61	0.9572	10000	0	0	250	258.11	8.11	50	47.25	250.0	248.89	-1.11	50.0	51.75	208	9466		50.0		7.5438e-01	250.0	248.06	-1.94	50.0	50.3	1	1	True	0.4092	13
0.5	10000	0.0	10	20	0	0	0	0	0	513	0	0	177.31	0.0	0.0	335.69	0.0	0.0	0.6544	0.0	0.0	9487	0.29	9486.71	1.0	0	9822.4	9822.4	513	177.31	0.6544	10000	177.6	0.9822	10000	0	0	250	263.44	13.44	50	50.87	250.0	249.34	-0.66	50.0	51.24	114	9710		50.0		7.6607e-01	250.0	248.98	-1.02	50.0	51.27	1	1	True	0.3318	13
0.5	10000	0.0	10	50	0	0	0	0	0	212	0	0	55.23	0.0	0.0	156.77	0.0	0.0	0.7395	0.0	0.0	9788	0.24	9787.76	1.0	0	9944.53	9944.53	212	55.23	0.7395	10000	55.47	0.9945	10000	0	0	250	251.77	1.77	50	36.86	250.0	249.05	-0.95	50.0	50.08	39	9686		50.0		8.2979e-01	250.0	248.47	-1.53	50.0	50.31	0	1	True	0.4317	13
0.5	10000	0.0	10	100	0	0	0	0	0	107	0	0	23.39	0.0	0.0	83.61	0.0	0.0	0.7814	0.0	0.0	9893	0.23	9892.77	1.0	0	9976.38	9976.38	107	23.39	0.7814	10000	23.62	0.9976	10000	0	0	250	236.06	-13.94	50	39.0	250.0	248.97	-1.03	50.0	50.16	17	8392		50.0		7.9843e-01	250.0	248.49	-1.51	50.0	50.29	1	1	True	0.3677	13
