true_source	predicted_pool	count	row_rate
gdna	mrna	1346710	0.07387864736426017
gdna	nrna	2378385	0.13047491049405285
gdna	gdna	14207120	0.7793829469906126
gdna	unresolved	296462	0.016263495151074323
rna	mrna	12921620	0.9236376123272722
rna	nrna	560148	0.040039388348357005
rna	gdna	383809	0.027434673698012942
rna	unresolved	124347	0.008888325626357942
