flowcell	true_source	fragments	mean_read_length	pred_rna	pred_gdna	pred_unresolved	pred_mrna	pred_nrna	pred_gdna_detail	pred_unresolved_detail	pred_rna_rate	pred_gdna_rate	pred_unresolved_rate
C6EL5ANXX	rna	13989924	124.6	13481768	383809	124347	12921620	560148	383809	124347	0.9636770006756291	0.027434673698012942	0.008888325626357942
H7MFFDSXY	gdna	18228677	149.4	3725095	14207120	296462	1346710	2378385	14207120	296462	0.20435355785831302	0.7793829469906126	0.016263495151074323
