scenario,condition,t_id,expected,observed,abs_diff,rel_error,total_expected,total_observed,gdna_expected,gdna_pipeline,gdna_abs_diff,nrna_expected,nrna_pipeline,nrna_abs_diff,ctrl_observed,n_fragments,alignment_rate,n_intergenic
single_exon,gdna=0_ss=0.95_nrna=50,t1,204,304.0,100.0,0.49,312,395.44,0,0.0,0.0,188,104.56,83.44,0.0,500,1.0,0
single_exon,gdna=0_ss=0.95_nrna=50,t_helper,108,91.44,16.56,0.15,312,395.44,0,0.0,0.0,188,104.56,83.44,0.0,500,1.0,0
single_exon,gdna=0_ss=0.95_nrna=50,t_ctrl,0,0.0,0.0,0.0,312,395.44,0,0.0,0.0,188,104.56,83.44,0.0,500,1.0,0
single_exon,gdna=0_ss=1.0_nrna=0,t1,339,339.0,0.0,0.0,500,499.55,0,0.0,0.0,0,0.45,0.45,0.0,500,1.0,0
single_exon,gdna=0_ss=1.0_nrna=0,t_helper,161,160.55,0.45,0.0,500,499.55,0,0.0,0.0,0,0.45,0.45,0.0,500,1.0,0
single_exon,gdna=0_ss=1.0_nrna=0,t_ctrl,0,0.0,0.0,0.0,500,499.55,0,0.0,0.0,0,0.45,0.45,0.0,500,1.0,0
single_exon,gdna=0_ss=1.0_nrna=30,t1,244,321.0,77.0,0.32,367,412.43,0,0.0,0.0,133,87.57,45.43,0.0,500,1.0,0
single_exon,gdna=0_ss=1.0_nrna=30,t_helper,123,91.43,31.57,0.26,367,412.43,0,0.0,0.0,133,87.57,45.43,0.0,500,1.0,0
single_exon,gdna=0_ss=1.0_nrna=30,t_ctrl,0,0.0,0.0,0.0,367,412.43,0,0.0,0.0,133,87.57,45.43,0.0,500,1.0,0
single_exon,gdna=0_ss=1.0_nrna=50,t1,209,317.0,108.0,0.52,312,393.55,0,0.0,0.0,188,106.45,81.55,0.0,500,1.0,0
single_exon,gdna=0_ss=1.0_nrna=50,t_helper,103,76.55,26.45,0.26,312,393.55,0,0.0,0.0,188,106.45,81.55,0.0,500,1.0,0
single_exon,gdna=0_ss=1.0_nrna=50,t_ctrl,0,0.0,0.0,0.0,312,393.55,0,0.0,0.0,188,106.45,81.55,0.0,500,1.0,0
single_exon,gdna=5_ss=0.65_nrna=0,t1,246,258.0,12.0,0.05,379,404.19,121,94.0,27.0,0,1.81,1.81,0.0,500,1.0,63
