TA1	TA2	TA3	TA4	TB	TC	NTA	gdna	strand_specificity	strand_symmetry_kappa	n_fragments	nrna_TB	nrna_TC	TA1_expected	TA2_expected	TA3_expected	TA4_expected	TB_expected	TC_expected	TA1_observed	TA2_observed	TA3_observed	TA4_observed	TB_observed	TC_observed	TA1_abs_diff	TA2_abs_diff	TA3_abs_diff	TA4_abs_diff	TB_abs_diff	TC_abs_diff	TA1_rel_err	TA2_rel_err	TA3_rel_err	TA4_rel_err	TB_rel_err	TC_rel_err	nrna_expected	nrna_observed	nrna_abs_diff	nrna_rel_err	gdna_expected	gdna_observed	gdna_abs_diff	total_mrna_expected	total_mrna_observed	total_mrna_rel_err	total_rna_expected	total_rna_observed	total_rna_rel_err	n_fragments_actual	n_intergenic	n_chimeric
100	0	0	3	0	0	0	10	0.95	4.0	50000	0	0	17912	0	0	342	0	0	17535.39	0.79	14.07	310.5	2.34	1.17	376.61	0.79	14.07	31.5	2.34	1.17	0.021	0.0	0.0	0.0921	0.0	0.0	0	377.02	377.02	0.0	31746	31758.72	12.72	18254	17864.27	0.0214	18254	18241.28	0.0007	50000	18844	0
100	0	0	3	0	0	0	10	0.95	6.0	50000	0	0	17912	0	0	342	0	0	17567.25	0.8	14.17	311.48	2.34	5.95	344.75	0.8	14.17	30.52	2.34	5.95	0.0192	0.0	0.0	0.0892	0.0	0.0	0	749.72	749.72	0.0	31746	31348.3	397.7	18254	17901.98	0.0193	18254	18651.7	0.0218	50000	18844	0
100	0	0	3	0	0	0	10	0.9	2.0	50000	0	0	17912	0	0	342	0	0	17413.02	0.79	22.05	285.98	2.39	0.54	498.98	0.79	22.05	56.02	2.39	0.54	0.0279	0.0	0.0	0.1638	0.0	0.0	0	0.0	0.0	0.0	31746	32275.23	529.23	18254	17724.77	0.029	18254	17724.77	0.029	50000	18844	0
100	0	0	3	0	0	0	10	0.9	4.0	50000	0	0	17912	0	0	342	0	0	17523.56	0.8	13.69	313.31	2.39	1.22	388.44	0.8	13.69	28.69	2.39	1.22	0.0217	0.0	0.0	0.0839	0.0	0.0	0	447.51	447.51	0.0	31746	31697.52	48.48	18254	17854.97	0.0219	18254	18302.48	0.0027	50000	18844	0
100	0	0	3	0	0	0	10	0.9	6.0	50000	0	0	17912	0	0	342	0	0	17563.62	0.81	13.48	315.33	2.39	7.01	348.38	0.81	13.48	26.67	2.39	7.01	0.0194	0.0	0.0	0.078	0.0	0.0	0	939.75	939.75	0.0	31746	31157.62	588.38	18254	17902.64	0.0192	18254	18842.38	0.0322	50000	18844	0
100	0	0	3	0	0	0	100	1.0	2.0	50000	0	0	2667	0	0	52	0	0	2329.5	0.75	7.8	33.52	2.57	0.6	337.5	0.75	7.8	18.48	2.57	0.6	0.1265	0.0	0.0	0.3553	0.0	0.0	0	0.0	0.0	0.0	47281	47625.25	344.25	2719	2374.75	0.1266	2719	2374.75	0.1266	50000	28315	0
100	0	0	3	0	0	0	100	1.0	4.0	50000	0	0	2667	0	0	52	0	0	2440.9	0.86	3.4	62.26	2.57	1.84	226.1	0.86	3.4	10.26	2.57	1.84	0.0848	0.0	0.0	0.1973	0.0	0.0	0	0.0	0.0	0.0	47281	47488.17	207.17	2719	2511.83	0.0762	2719	2511.83	0.0762	50000	28315	0
100	0	0	3	0	0	0	100	1.0	6.0	50000	0	0	2667	0	0	52	0	0	2512.3	0.94	2.57	96.22	2.57	37.25	154.7	0.94	2.57	44.22	2.57	37.25	0.058	0.0	0.0	0.8504	0.0	0.0	0	0.0	0.0	0.0	47281	47348.16	67.16	2719	2651.84	0.0247	2719	2651.84	0.0247	50000	28315	0
100	0	0	3	0	0	0	100	0.95	2.0	50000	0	0	2662	0	0	57	0	0	2269.75	0.57	10.36	15.91	2.67	0.69	392.25	0.57	10.36	41.09	2.67	0.69	0.1474	0.0	0.0	0.7209	0.0	0.0	0	0.0	0.0	0.0	47281	47700.05	419.05	2719	2299.95	0.1541	2719	2299.95	0.1541	50000	28152	0
100	0	0	3	0	0	0	100	0.95	4.0	50000	0	0	2662	0	0	57	0	0	2330.22	0.62	6.08	22.44	2.67	3.17	331.78	0.62	6.08	34.56	2.67	3.17	0.1246	0.0	0.0	0.6063	0.0	0.0	0	630.82	630.82	0.0	47281	47003.98	277.02	2719	2365.2	0.1301	2719	2996.02	0.1019	50000	28152	0
