strand_specificity	n_rna_fragments	gdna_fraction	TA1	NTA1	TD	TE	NTD	NTE	gdna	TA1_expected	TD_expected	TE_expected	TA1_observed	TD_observed	TE_observed	TA1_abs_diff	TD_abs_diff	TE_abs_diff	TA1_rel_err	TD_rel_err	TE_rel_err	nrna_expected	nrna_observed	nrna_abs_diff	nrna_rel_err	gdna_expected	gdna_observed	gdna_abs_diff	total_mrna_expected	total_mrna_observed	total_mrna_rel_err	total_rna_expected	total_rna_observed	total_rna_rel_err	n_fragments_actual	n_intergenic	n_chimeric	rna_fl_true_mean	rna_fl_est_mean	rna_fl_mean_err	rna_fl_true_std	rna_fl_est_std	gdna_fl_true_mean	gdna_fl_est_mean	gdna_fl_mean_err	gdna_fl_true_std	gdna_fl_est_std	rna_fl_n_obs	gdna_fl_n_obs	cal_kappa_true	cal_kappa_est	cal_kappa_err	cal_density_est	cal_gdna_fl_true_mean	cal_gdna_fl_est_mean	cal_gdna_fl_mean_err	cal_gdna_fl_true_std	cal_gdna_fl_est_std	cal_n_seed	cal_n_iterations	cal_converged	cal_mean_weight	cal_n_regions
0.5	10000	0.0	5	200	0	0	0	0	0	27	0	0	26.0	0.0	0.0	1.0	0.0	0.0	0.037	0.0	0.0	9973	9537.0	436.0	0.0437	0	437.0	437.0	27	26.0	0.037	10000	9563.0	0.0437	10000	0	0	250	255.5	5.5	50	15.79	250.0			50.0		4	0		0.75		1.6452e-218	250.0			50.0		γ=0.000			0.0	13
0.5	10000	0.0	5	500	0	0	0	0	0	11	0	0	14.0	0.0	0.0	3.0	0.0	0.0	0.2727	0.0	0.0	9989	281.0	9708.0	0.9719	0	9705.0	9705.0	11	14.0	0.2727	10000	295.0	0.9705	10000	0	0	250	250.0	0.0	50	43.0	250.0			50.0		2	0		1.0		1.6515e-218	250.0			50.0		γ=0.000			0.0	13
0.5	10000	0.0	5	1000	0	0	0	0	0	5	0	0	0.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	0.0	9995	10000.0	5.0	0.0005	0	0.0	0.0	5	0.0	1.0	10000	10000.0	0.0	10000	0	0	250			50		250.0			50.0		0	0		0.5		5.7169e-215	250.0			50.0		γ=0.000			0.0	13
0.5	10000	0.0	10	0	0	0	0	0	0	10000	0	0	10000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	10000	10000.0	0.0	10000	10000.0	0.0	10000	0	0	250	259.18	9.18	50	47.49	250.0			50.0		2021	0		0.5052		0.0000e+00	250.0			50.0		γ=0.000			0.0	13
0.5	10000	0.0	10	5	0	0	0	0	0	1778	0	0	1844.0	0.0	0.0	66.0	0.0	0.0	0.0371	0.0	0.0	8222	8156.0	66.0	0.008	0	0.0	0.0	1778	1844.0	0.0371	10000	10000.0	0.0	10000	0	0	250	258.1	8.1	50	48.2	250.0			50.0		378	0		0.5212		1.3501e-218	250.0			50.0		γ=0.000			0.0	13
0.5	10000	0.0	10	10	0	0	0	0	0	976	0	0	996.0	0.0	0.0	20.0	0.0	0.0	0.0205	0.0	0.0	9024	9004.0	20.0	0.0022	0	0.0	0.0	976	996.0	0.0205	10000	10000.0	0.0	10000	0	0	250	258.11	8.11	50	47.25	250.0			50.0		208	0		0.524		1.4942e-218	250.0			50.0		γ=0.000			0.0	13
0.5	10000	0.0	10	20	0	0	0	0	0	513	0	0	536.0	0.0	0.0	23.0	0.0	0.0	0.0448	0.0	0.0	9487	9464.0	23.0	0.0024	0	0.0	0.0	513	536.0	0.0448	10000	10000.0	0.0	10000	0	0	250	263.44	13.44	50	50.87	250.0			50.0		114	0		0.5351		1.5734e-218	250.0			50.0		γ=0.000			0.0	13
0.5	10000	0.0	10	50	0	0	0	0	0	212	0	0	206.0	0.0	0.0	6.0	0.0	0.0	0.0283	0.0	0.0	9788	9794.0	6.0	0.0006	0	0.0	0.0	212	206.0	0.0283	10000	10000.0	0.0	10000	0	0	250	251.77	1.77	50	36.86	250.0			50.0		39	0		0.5128		1.6246e-218	250.0			50.0		γ=0.000			0.0	13
0.5	10000	0.0	10	100	0	0	0	0	0	107	0	0	115.0	0.0	0.0	8.0	0.0	0.0	0.0748	0.0	0.0	9893	9302.0	591.0	0.0597	0	583.0	583.0	107	115.0	0.0748	10000	9417.0	0.0583	10000	0	0	250	236.06	-13.94	50	39.0	250.0			50.0		17	0		0.5882		1.6338e-218	250.0			50.0		γ=0.000			0.0	13
0.5	10000	0.0	10	200	0	0	0	0	0	54	0	0	83.0	0.0	0.0	29.0	0.0	0.0	0.537	0.0	0.0	9946	612.0	9334.0	0.9385	0	9305.0	9305.0	54	83.0	0.537	10000	695.0	0.9305	10000	0	0	250	249.43	-0.57	50	39.41	250.0			50.0		14	0		0.7143		1.6396e-218	250.0			50.0		γ=0.000			0.0	13
