flowcell	true_source	fragments	mean_read_length	pred_rna	pred_gdna	pred_unresolved	pred_mrna	pred_nrna	pred_gdna_detail	pred_unresolved_detail	pred_rna_rate	pred_gdna_rate	pred_unresolved_rate
C6EL5ANXX	rna	13989924	124.6	13459053	406524	124347	12959647	499406	406524	124347	0.9620533320981587	0.02905834227548341	0.008888325626357942
H7MFFDSXY	gdna	18228677	149.4	2912432	15019783	296462	1340635	1571797	15019783	296462	0.15977199003526146	0.8239645148136642	0.016263495151074323
