true_source	predicted_binary	predicted_detail	zc	zs	cigar_class	nh	nm	count	rate_within_group
gdna	gdna	gdna	multimapper	unspliced	all_M	3-10	2	700	4.504893827053393e-05
rna	rna	mrna	ambig_same_strand	spliced_implicit	other	1	1	689	5.3573375229941747e-05
rna	rna	nrna	ambig_same_strand	spliced_implicit	soft_or_hard_clipped	1	0	687	0.001384767955622924
gdna	rna	nrna	ambig_same_strand	spliced_implicit	all_M	1	>=3	679	0.0005100036579054698
gdna	rna	nrna	multimapper	spliced_annot	contains_N	2	1	669	0.0005024925583781433
rna	rna	mrna	unambig	spliced_annot	soft_or_hard_clipped	1	>=3	667	5.186275947513954e-05
gdna	gdna	gdna	multimapper	unspliced	all_M	3-10	>=3	666	4.2860846983108e-05
rna	rna	nrna	multimapper	unspliced	soft_or_hard_clipped	2	0	657	0.001324297739220176
gdna	rna	nrna	ambig_same_strand	spliced_unannot	contains_N	1	>=3	654	0.0004912259090871535
rna	rna	nrna	ambig_opp_strand	spliced_unannot	all_M	1	0	652	0.0013142193698197182
gdna	gdna	gdna	multimapper	unspliced	soft_or_hard_clipped	2	1	648	4.170244571329427e-05
gdna	rna	nrna	multimapper	unspliced	all_M	>10	0	646	0.0004852170294652923
rna	rna	mrna	ambig_opp_strand	spliced_implicit	all_M	1	2	641	4.984112267400967e-05
rna	rna	nrna	ambig_opp_strand	unspliced	all_M	1	>=3	631	0.0012718902183377946
rna	rna	nrna	ambig_same_strand	spliced_unannot	all_M	1	1	627	0.0012638275228174284
gdna	rna	nrna	unambig	unspliced	all_M	1	2	625	0.00046944372045790666
gdna	unresolved	unresolved	.	unspliced	all_M	2	2	616	0.002077837969115772
gdna	gdna	gdna	.	unknown	all_M	3-10	1	604	3.887079816486071e-05
gdna	unresolved	unresolved	.	unspliced	other	1	1	601	0.0020272412653223686
gdna	rna	mrna	ambig_opp_strand	unspliced	other	1	1	593	0.000558277905657624
gdna	unresolved	unresolved	.	unspliced	soft_or_hard_clipped	3-10	0	592	0.001996883243046326
rna	rna	nrna	unambig	unspliced	soft_or_hard_clipped	1	1	589	0.0011872319153739478
gdna	unresolved	unresolved	.	unspliced	other	1	>=3	588	0.0019833907887014187
rna	rna	mrna	multimapper	spliced_annot	contains_N	2	2	587	4.564233854858608e-05
rna	rna	mrna	ambig_same_strand	spliced_unannot	soft_or_hard_clipped	1	0	583	4.53313175022584e-05
gdna	rna	nrna	multimapper	spliced_unannot	all_M	2	0	577	0.00043339044272673946
gdna	rna	nrna	ambig_same_strand	spliced_unannot	contains_N	1	1	570	0.0004281326730576109
