true_source	predicted_binary	predicted_detail	count	mean_template_abs	mean_mapq
gdna	gdna	gdna	15538657	580.6438333763336	253.52438721055495
gdna	rna	mrna	1062195	33762.14488959184	252.1527855054863
gdna	rna	nrna	1331363	17490.03354832604	249.40616120472026
gdna	unresolved	unresolved	296462	10195.450556901053	111.25237298540792
rna	gdna	gdna	508599	857.8425183690885	252.83969885902252
rna	rna	mrna	12860866	5017.833542391313	254.0624007745668
rna	rna	nrna	496112	517.0821427419615	227.6144197278034
rna	unresolved	unresolved	124347	64112.43750954989	42.46378280135428
