true_source	predicted_binary	predicted_detail	feature	value	count	rate_within_group
gdna	rna	nrna	template	0_or_missing	19	1.4271089101920362e-05
gdna	rna	nrna	zc	ambig_same_strand	923354	0.6935403792955039
gdna	rna	nrna	zc	ambig_opp_strand	350287	0.263104052012862
gdna	rna	nrna	zc	multimapper	29458	0.022126196987598424
gdna	rna	nrna	zc	unambig	28264	0.02122937170403564
gdna	rna	nrna	zs	unspliced	1263244	0.9488351411298046
gdna	rna	nrna	zs	spliced_implicit	48831	0.03667745010188807
gdna	rna	nrna	zs	spliced_annot	10799	0.008111236379559895
gdna	rna	nrna	zs	spliced_unannot	8489	0.006376172388747472
gdna	rna	nrna	zw	<0.25	461393	0.3465568744211759
gdna	rna	nrna	zw	0.25-0.50	388693	0.2919511808575122
gdna	rna	nrna	zw	0.50-0.70	239913	0.18020104208994842
gdna	rna	nrna	zw	0.70-0.90	165972	0.1246632210749435
gdna	rna	nrna	zw	0.90-0.99	59660	0.044811219780029936
gdna	rna	nrna	zw	>=0.99	15732	0.01181646177639006
gdna	unresolved	unresolved	cigar_class	other	149677	0.504877522245684
gdna	unresolved	unresolved	cigar_class	all_M	126531	0.4268034351788762
gdna	unresolved	unresolved	cigar_class	soft_or_hard_clipped	19528	0.06587016211183895
gdna	unresolved	unresolved	cigar_class	contains_N	726	0.0024488804636007312
gdna	unresolved	unresolved	mapq	0-9	167248	0.564146501069277
gdna	unresolved	unresolved	mapq	>=60	129214	0.435853498930723
gdna	unresolved	unresolved	nh	1	277072	0.9345953275630604
gdna	unresolved	unresolved	nh	2	9204	0.03104613744763241
gdna	unresolved	unresolved	nh	3-10	8615	0.029059373545344765
gdna	unresolved	unresolved	nh	>10	1571	0.005299161443962464
gdna	unresolved	unresolved	nm	0	249631	0.842033717643408
gdna	unresolved	unresolved	nm	1	23736	0.08006422408268175
gdna	unresolved	unresolved	nm	>=3	14991	0.050566345771127494
gdna	unresolved	unresolved	nm	2	8104	0.02733571250278282
gdna	unresolved	unresolved	template	0_or_missing	165220	0.5573058267164088
gdna	unresolved	unresolved	template	351-500	67656	0.22821137278976733
gdna	unresolved	unresolved	template	201-350	47211	0.1592480655193583
gdna	unresolved	unresolved	template	1-200	7490	0.0252646207608395
gdna	unresolved	unresolved	template	501-1000	7430	0.025062233945665886
gdna	unresolved	unresolved	template	>1000	1455	0.0049078802679601435
gdna	unresolved	unresolved	zc	.	148604	0.5012581713676626
gdna	unresolved	unresolved	zc	missing	147858	0.49874182863233735
gdna	unresolved	unresolved	zs	missing	147858	0.49874182863233735
