TA1	TA2	TA3	TA4	TB	TC	NTA	gdna	strand_specificity	strand_symmetry_kappa	n_fragments	nrna_TB	nrna_TC	TA1_expected	TA2_expected	TA3_expected	TA4_expected	TB_expected	TC_expected	TA1_observed	TA2_observed	TA3_observed	TA4_observed	TB_observed	TC_observed	TA1_abs_diff	TA2_abs_diff	TA3_abs_diff	TA4_abs_diff	TB_abs_diff	TC_abs_diff	TA1_rel_err	TA2_rel_err	TA3_rel_err	TA4_rel_err	TB_rel_err	TC_rel_err	nrna_expected	nrna_observed	nrna_abs_diff	nrna_rel_err	gdna_expected	gdna_observed	gdna_abs_diff	total_mrna_expected	total_mrna_observed	total_mrna_rel_err	total_rna_expected	total_rna_observed	total_rna_rel_err	n_fragments_actual	n_intergenic	n_chimeric
100	0	0	3	0	0	10	10	1.0	6.0	50000	0	0	16105	0	0	303	0	0	15920.97	0.76	12.18	274.9	3.31	2.3	184.03	0.76	12.18	28.1	3.31	2.3	0.0114	0.0	0.0	0.0928	0.0	0.0	5058	5686.27	628.27	0.1242	28534	28099.3	434.7	16408	16214.43	0.0118	21466	21900.7	0.0203	50000	16935	0
100	0	0	3	0	0	10	10	0.95	2.0	50000	0	0	16119	0	0	289	0	0	15688.62	0.82	35.01	270.05	2.6	0.45	430.38	0.82	35.01	18.95	2.6	0.45	0.0267	0.0	0.0	0.0656	0.0	0.0	5058	4486.84	571.16	0.1129	28534	29515.62	981.62	16408	15997.55	0.025	21466	20484.38	0.0457	50000	16921	0
100	0	0	3	0	0	10	10	0.95	6.0	50000	0	0	16119	0	0	289	0	0	15765.46	0.83	34.54	273.86	2.6	4.68	353.54	0.83	34.54	15.14	2.6	4.68	0.0219	0.0	0.0	0.0524	0.0	0.0	5058	5831.33	773.33	0.1529	28534	28086.7	447.3	16408	16081.98	0.0199	21466	21913.3	0.0208	50000	16921	0
100	0	0	3	0	0	10	10	0.9	2.0	50000	0	0	16119	0	0	289	0	0	15620.06	0.82	36.42	267.59	2.61	0.45	498.94	0.82	36.42	21.41	2.61	0.45	0.031	0.0	0.0	0.0741	0.0	0.0	5058	4188.87	869.13	0.1718	28534	29883.17	1349.17	16408	15927.97	0.0293	21466	20116.83	0.0629	50000	16921	0
100	0	0	3	0	0	10	10	0.9	6.0	50000	0	0	16119	0	0	289	0	0	15722.04	0.84	34.11	274.24	2.61	5.04	396.96	0.84	34.11	14.76	2.61	5.04	0.0246	0.0	0.0	0.0511	0.0	0.0	5058	6047.06	989.06	0.1955	28534	27914.06	619.94	16408	16038.88	0.0225	21466	22085.94	0.0289	50000	16921	0
100	0	0	3	0	0	10	100	1.0	2.0	50000	0	0	2622	0	0	52	0	0	2339.63	0.66	32.85	11.99	2.91	0.7	282.37	0.66	32.85	40.01	2.91	0.7	0.1077	0.0	0.0	0.7695	0.0	0.0	824	412.55	411.45	0.4993	46502	47198.7	696.7	2674	2388.74	0.1067	3498	2801.3	0.1992	50000	27827	0
100	0	0	3	0	0	10	100	1.0	6.0	50000	0	0	2622	0	0	52	0	0	2339.71	0.66	33.28	11.64	2.91	69.06	282.29	0.66	33.28	40.36	2.91	69.06	0.1077	0.0	0.0	0.7762	0.0	0.0	824	1663.67	839.67	1.019	46502	45879.07	622.93	2674	2457.26	0.0811	3498	4120.93	0.1781	50000	27827	0
100	0	0	3	0	0	10	100	0.95	2.0	50000	0	0	2626	0	0	48	0	0	2261.88	0.6	14.85	48.19	2.55	0.53	364.12	0.6	14.85	0.19	2.55	0.53	0.1387	0.0	0.0	0.0039	0.0	0.0	824	0.0	824.0	1.0	46502	47671.41	1169.41	2674	2328.59	0.1292	3498	2328.59	0.3343	50000	27756	0
100	0	0	3	0	0	10	100	0.95	6.0	50000	0	0	2626	0	0	48	0	0	2261.98	0.61	19.89	43.48	2.55	13.11	364.02	0.61	19.89	4.52	2.55	13.11	0.1386	0.0	0.0	0.0943	0.0	0.0	824	1630.99	806.99	0.9794	46502	46027.4	474.6	2674	2341.61	0.1243	3498	3972.6	0.1357	50000	27756	0
100	0	0	3	0	0	10	100	0.9	2.0	50000	0	0	2626	0	0	48	0	0	2217.14	0.59	22.13	40.55	2.54	0.53	408.86	0.59	22.13	7.45	2.54	0.53	0.1557	0.0	0.0	0.1552	0.0	0.0	824	0.0	824.0	1.0	46502	47716.51	1214.51	2674	2283.49	0.146	3498	2283.49	0.3472	50000	27756	0
100	0	0	3	0	0	10	100	0.9	6.0	50000	0	0	2626	0	0	48	0	0	2252.89	0.62	23.67	41.2	2.54	14.39	373.11	0.62	23.67	6.8	2.54	14.39	0.1421	0.0	0.0	0.1416	0.0	0.0	824	1874.17	1050.17	1.2745	46502	45790.5	711.5	2674	2335.32	0.1267	3498	4209.5	0.2034	50000	27756	0
100	0	0	3	0	0	10	1000	1.0	2.0	50000	0	0	277	0	0	8	0	0	159.15	0.36	8.66	13.2	2.96	0.56	117.85	0.36	8.66	5.2	2.96	0.56	0.4255	0.0	0.0	0.6498	0.0	0.0	88	0.0	88.0	1.0	49627	49815.12	188.12	285	184.88	0.3513	373	184.88	0.5043	50000	29667	0
100	0	0	3	0	0	10	1000	1.0	6.0	50000	0	0	277	0	0	8	0	0	225.16	1.26	3.71	45.55	2.96	19.95	51.84	1.26	3.71	37.55	2.96	19.95	0.1872	0.0	0.0	4.6942	0.0	0.0	88	0.0	88.0	1.0	49627	49701.42	74.42	285	298.58	0.0477	373	298.58	0.1995	50000	29667	0
100	0	0	3	0	0	10	1000	0.95	2.0	50000	0	0	279	0	0	6	0	0	159.52	0.3	0.47	0.34	2.73	0.52	119.48	0.3	0.47	5.66	2.73	0.52	0.4282	0.0	0.0	0.9431	0.0	0.0	88	0.0	88.0	1.0	49627	49836.12	209.12	285	163.88	0.425	373	163.88	0.5606	50000	29616	0
100	0	0	3	0	0	10	1000	0.95	6.0	50000	0	0	279	0	0	6	0	0	224.91	1.05	0.96	1.12	2.73	39.12	54.09	1.05	0.96	4.88	2.73	39.12	0.1939	0.0	0.0	0.8132	0.0	0.0	88	0.0	88.0	1.0	49627	49730.11	103.11	285	269.89	0.053	373	269.89	0.2764	50000	29616	0
100	0	0	3	0	0	10	1000	0.9	2.0	50000	0	0	279	0	0	6	0	0	157.69	0.29	0.46	0.33	2.71	0.51	121.31	0.29	0.46	5.67	2.71	0.51	0.4348	0.0	0.0	0.9445	0.0	0.0	88	0.0	88.0	1.0	49627	49838.0	211.0	285	162.0	0.4316	373	162.0	0.5657	50000	29616	0
100	0	0	3	0	0	10	1000	0.9	6.0	50000	0	0	279	0	0	6	0	0	224.75	1.08	0.97	1.11	2.71	43.19	54.25	1.08	0.97	4.89	2.71	43.19	0.1945	0.0	0.0	0.8154	0.0	0.0	88	0.0	88.0	1.0	49627	49726.2	99.2	285	273.8	0.0393	373	273.8	0.266	50000	29616	0
