true_source	predicted_pool	count	row_rate
gdna	rna	2894671	0.15879764614842865
gdna	gdna	15037544	0.824938858700497
gdna	unresolved	296462	0.016263495151074323
rna	rna	13406465	0.9582943409842684
rna	gdna	459112	0.03281733338937367
rna	unresolved	124347	0.008888325626357942
