flowcell	true_source	zf	count
C6EL5ANXX	rna	25	267578
C6EL5ANXX	rna	3	12860850
C6EL5ANXX	rna	37	9491
C6EL5ANXX	rna	5	449621
C6EL5ANXX	rna	64	26214
C6EL5ANXX	rna	9	278037
C6EL5ANXX	rna	missing	98133
H7MFFDSXY	gdna	25	1667065
H7MFFDSXY	gdna	3	1085039
H7MFFDSXY	gdna	37	284257
H7MFFDSXY	gdna	5	14753287
H7MFFDSXY	gdna	64	148604
H7MFFDSXY	gdna	9	142567
H7MFFDSXY	gdna	missing	147858
