condition,tool,strand_protocol,strand_specificity,p_r1_sense,strand_n_training,strand_posterior_var,gdna_density_global,gdna_mixing_prop,kappa_strand,gdna_fl_mean,gdna_fl_mode,n_eligible_regions,calibration_converged,fl_global_mean,fl_global_mode,fl_rna_mean,fl_intergenic_mean,n_transcripts,n_genes,n_loci,n_unambig,n_em,mrna_fraction
gdna_high_ss_0.90_nrna_none,rigel/map,R1-antisense,0.899989,0.100011,14594526,1e-08,0.01046138,0.486301,4.96,256.74,101,,True,,,,,457513,63472,9100,2348512,62930558,0.680186
gdna_high_ss_0.90_nrna_none,rigel/vbem,R1-antisense,0.899989,0.100011,14594526,1e-08,0.01046138,0.486301,4.96,256.74,101,,True,,,,,457513,63472,9100,2348512,62930558,0.680183
