n_transcripts,n_expressed_truth,n_expressed_pred,total_truth,total_predicted,total_abs_error,mae,median_abs_error,rmse,mean_rel_error,median_rel_error,mape,ware,pearson_r,spearman_r,log2_pearson_r,log2_spearman_r,precision,recall,f1,tp,fp,fn,tn,condition,tool,gdna_label,strand_specificity,nrna_label
63472,31660,31499,1000000.0,1000000.0,42146.47213106601,0.664016765362144,0.024399999631560008,9.268483731734044,0.705584184397645,0.13332565551701953,70.55841843976451,0.0346093760093469,0.9952080495728185,0.8825463450634015,0.9897016215538813,0.882546288186065,0.8698688847264993,0.8654453569172458,0.8676514827657182,27400,4099,4260,27713,gdna_high_ss_0.90_nrna_none,rigel/map,high,0.9,none
63472,31660,29079,1000000.0,1000000.0,40314.97950422267,0.6351616382692001,0.01757611007298769,9.050433195565494,0.6758998161814302,0.13630010286475414,67.58998161814303,0.03395352827185089,0.9954242438764896,0.8865302077390996,0.9904583709012136,0.886530149636606,0.9035042470511365,0.8298483891345546,0.8651113781919358,26273,2806,5387,29006,gdna_high_ss_0.90_nrna_none,rigel/vbem,high,0.9,none
63472,31660,39748,1000000.0,999999.999996,123804.34622411066,1.9505348220335055,0.13138900422724492,14.608417746293508,1.9057412875679802,0.320745840032715,190.57412875679802,0.11817076842111067,0.988038065805728,0.7785055380198158,0.9781827075763687,0.7785054837944279,0.7047147026265472,0.884744156664561,0.7845339457763837,28011,11737,3649,20075,gdna_high_ss_0.90_nrna_none,salmon,high,0.9,none
63472,31660,56051,1000000.0,1000000.0018941179,110356.06037949133,1.7386573667048673,0.4769065,8.194479980534965,7.817690466789372,0.37731654648483076,781.7690466789372,0.08052544098137503,0.9983725241309358,0.7009838690525313,0.94913498822595,0.7009837683546531,0.5588125100355034,0.9893240682248895,0.7142091641869321,31322,24729,338,7083,gdna_high_ss_0.90_nrna_none,kallisto,high,0.9,none
