true_source	predicted_pool	count	row_rate
gdna	rna	2928428	0.16064950846405365
gdna	gdna	15003787	0.823086996384872
gdna	unresolved	296462	0.016263495151074323
rna	rna	13410077	0.9585525268042915
rna	gdna	455500	0.032559147569350626
rna	unresolved	124347	0.008888325626357942
