flowcell	true_source	fragments	mean_read_length	pred_rna	pred_gdna	pred_unresolved	pred_mrna	pred_nrna	pred_gdna_detail	pred_unresolved_detail	pred_rna_rate	pred_gdna_rate	pred_unresolved_rate
C6EL5ANXX	rna	13989924	124.6	13410077	455500	124347	12858843	551234	455500	124347	0.9585525268042915	0.032559147569350626	0.008888325626357942
H7MFFDSXY	gdna	18228677	149.4	2928428	15003787	296462	1087668	1840760	15003787	296462	0.16064950846405365	0.823086996384872	0.016263495151074323
