true_source	predicted_pool	count	row_rate
gdna	mrna	1087668	0.059667961640880465
gdna	nrna	1840760	0.10098154682317317
gdna	gdna	15003787	0.823086996384872
gdna	unresolved	296462	0.016263495151074323
rna	mrna	12858843	0.9191503113240643
rna	nrna	551234	0.03940221548022706
rna	gdna	455500	0.032559147569350626
rna	unresolved	124347	0.008888325626357942
