flowcell	true_source	zf	count
C6EL5ANXX	rna	25	272993
C6EL5ANXX	rna	3	12858843
C6EL5ANXX	rna	37	9491
C6EL5ANXX	rna	5	446009
C6EL5ANXX	rna	64	26214
C6EL5ANXX	rna	9	278241
C6EL5ANXX	rna	missing	98133
H7MFFDSXY	gdna	25	1697142
H7MFFDSXY	gdna	3	1087668
H7MFFDSXY	gdna	37	284257
H7MFFDSXY	gdna	5	14719530
H7MFFDSXY	gdna	64	148604
H7MFFDSXY	gdna	9	143618
H7MFFDSXY	gdna	missing	147858
