condition	mode	side_class	side_count	event_count	density	density_se	expected_rho	ratio_to_expected	mean_fl	b_cross_empirical	n_gdna	rigel_rho_exon_intron	rigel_rho_intergenic	rigel_rho_intron
gdna_low_ss_0.99_nrna_none	physical_fragment	exon_intron_internal	748	2607	0.009945203890426794	0.00019477946813069953	0.01	0.9945203890426795	351.44974	350.44974	100000	0.009042324356746232	0.01001240794184648	0.009943816967640982
gdna_low_ss_0.99_nrna_none	physical_fragment	exon_intron_terminal	98	323	0.009404824689973914	0.0005232984439614309	0.01	0.9404824689973914	351.44974	350.44974	100000	0.009042324356746232	0.01001240794184648	0.009943816967640982
gdna_low_ss_0.99_nrna_none	physical_fragment	exon_intergenic	102	359	0.010043117290191897	0.0005300554575088933	0.01	1.0043117290191896	351.44974	350.44974	100000	0.009042324356746232	0.01001240794184648	0.009943816967640982
gdna_low_ss_0.99_nrna_none	scanner_observable	exon_intron_internal	748	2585	0.009861278119199563	0.00019395587261024496	0.01	0.9861278119199562	351.44974	350.44974	100000	0.009042324356746232	0.01001240794184648	0.009943816967640982
gdna_low_ss_0.99_nrna_none	scanner_observable	exon_intron_terminal	98	321	0.009346590481367264	0.0005216758092210463	0.01	0.9346590481367264	351.44974	350.44974	100000	0.009042324356746232	0.01001240794184648	0.009943816967640982
gdna_low_ss_0.99_nrna_none	scanner_observable	exon_intergenic	102	357	0.00998716677604041	0.0005285769177878034	0.01	0.9987166776040409	351.44974	350.44974	100000	0.009042324356746232	0.01001240794184648	0.009943816967640982
gdna_med_ss_0.99_nrna_none	physical_fragment	exon_intron_internal	748	13136	0.05011855631333491	0.00043728741894099525	0.05	1.002371126266698	351.399106	350.399106	500000	0.04612199712459581	0.049997065031681776	0.050102276286909136
gdna_med_ss_0.99_nrna_none	physical_fragment	exon_intron_terminal	98	1696	0.04938974487274973	0.0011992890235083499	0.05	0.9877948974549946	351.399106	350.399106	500000	0.04612199712459581	0.049997065031681776	0.050102276286909136
gdna_med_ss_0.99_nrna_none	physical_fragment	exon_intergenic	102	1795	0.05022284279368645	0.0011854113065156888	0.05	1.0044568558737288	351.399106	350.399106	500000	0.04612199712459581	0.049997065031681776	0.050102276286909136
gdna_med_ss_0.99_nrna_none	scanner_observable	exon_intron_internal	748	13058	0.049820958308429295	0.00043598720569139744	0.05	0.9964191661685858	351.399106	350.399106	500000	0.04612199712459581	0.049997065031681776	0.050102276286909136
gdna_med_ss_0.99_nrna_none	scanner_observable	exon_intron_terminal	98	1690	0.04921501700173765	0.0011971657600723226	0.05	0.984300340034753	351.399106	350.399106	500000	0.04612199712459581	0.049997065031681776	0.050102276286909136
gdna_med_ss_0.99_nrna_none	scanner_observable	exon_intergenic	102	1789	0.05005496699604738	0.0011834284593402371	0.05	1.0010993399209476	351.399106	350.399106	500000	0.04612199712459581	0.049997065031681776	0.050102276286909136
gdna_equal_ss_0.99_nrna_none	physical_fragment	exon_intron_internal	748	26230	0.1000621311903922	0.000617832291411851	0.1	1.000621311903922	351.45071	350.45071	1000000	0.091744966135633	0.1000191331283942	0.10039538992899115
gdna_equal_ss_0.99_nrna_none	physical_fragment	exon_intron_terminal	98	3429	0.0998422743054718	0.0017050248878904297	0.1	0.9984227430547179	351.45071	350.45071	1000000	0.091744966135633	0.1000191331283942	0.10039538992899115
gdna_equal_ss_0.99_nrna_none	physical_fragment	exon_intergenic	102	3552	0.09936783809559041	0.0016672831557845577	0.1	0.9936783809559041	351.45071	350.45071	1000000	0.091744966135633	0.1000191331283942	0.10039538992899115
gdna_equal_ss_0.99_nrna_none	scanner_observable	exon_intron_internal	748	26000	0.09918472782882948	0.0006151175695775871	0.1	0.9918472782882948	351.45071	350.45071	1000000	0.091744966135633	0.1000191331283942	0.10039538992899115
gdna_equal_ss_0.99_nrna_none	scanner_observable	exon_intron_terminal	98	3420	0.0995802210920716	0.001702785852271982	0.1	0.995802210920716	351.45071	350.45071	1000000	0.091744966135633	0.1000191331283942	0.10039538992899115
gdna_equal_ss_0.99_nrna_none	scanner_observable	exon_intergenic	102	3543	0.09911606147879415	0.0016651695485679144	0.1	0.9911606147879415	351.45071	350.45071	1000000	0.091744966135633	0.1000191331283942	0.10039538992899115
gdna_high_ss_0.99_nrna_none	physical_fragment	exon_intron_internal	748	52608	0.20074594469883725	0.0008752273591589116	0.2	1.0037297234941862	351.3510415	350.3510415	2000000	0.18470752967622098	0.19994809703559496	0.2005971001684332
gdna_high_ss_0.99_nrna_none	physical_fragment	exon_intron_terminal	98	6793	0.19784821028029465	0.002400497835625413	0.2	0.9892410514014732	351.3510415	350.3510415	2000000	0.18470752967622098	0.19994809703559496	0.2005971001684332
gdna_high_ss_0.99_nrna_none	physical_fragment	exon_intergenic	102	7101	0.19870826346272907	0.0023580671688697655	0.2	0.9935413173136454	351.3510415	350.3510415	2000000	0.18470752967622098	0.19994809703559496	0.2005971001684332
gdna_high_ss_0.99_nrna_none	scanner_observable	exon_intron_internal	748	52188	0.199143274063696	0.000871726635733406	0.2	0.9957163703184799	351.3510415	350.3510415	2000000	0.18470752967622098	0.19994809703559496	0.2005971001684332
gdna_high_ss_0.99_nrna_none	scanner_observable	exon_intron_terminal	98	6765	0.19703270168499828	0.002395545432811417	0.2	0.9851635084249913	351.3510415	350.3510415	2000000	0.18470752967622098	0.19994809703559496	0.2005971001684332
gdna_high_ss_0.99_nrna_none	scanner_observable	exon_intergenic	102	7073	0.19792473559666	0.002353413521768012	0.2	0.9896236779832999	351.3510415	350.3510415	2000000	0.18470752967622098	0.19994809703559496	0.2005971001684332
