condition	axis	origin	label	n
gdna_equal_ss_0.50_nrna_none	ZS	rna	spliced_annot	323273
gdna_equal_ss_0.50_nrna_none	ZS	rna	unknown	4757
gdna_equal_ss_0.50_nrna_none	ZS	rna	unspliced	671970
gdna_equal_ss_0.50_nrna_none	ZC	gdna	.	833633
gdna_equal_ss_0.50_nrna_none	ZC	gdna	ambig_opp_strand	20722
gdna_equal_ss_0.50_nrna_none	ZC	gdna	ambig_same_strand	145257
gdna_equal_ss_0.50_nrna_none	ZC	gdna	unambig	388
gdna_equal_ss_0.50_nrna_none	ZC	rna	ambig_opp_strand	55898
gdna_equal_ss_0.50_nrna_none	ZC	rna	ambig_same_strand	922073
gdna_equal_ss_0.50_nrna_none	ZC	rna	unambig	22029
gdna_equal_ss_0.50_nrna_none	assignment_implicit	gdna	mrna	5
gdna_equal_ss_0.50_nrna_none	assignment_implicit	gdna	nrna	1588
gdna_equal_ss_0.50_nrna_none	assignment_implicit	rna	mrna	4757
gdna_high_ss_0.99_nrna_none	ZS	gdna	unknown	1669319
gdna_high_ss_0.99_nrna_none	ZS	gdna	unspliced	330681
gdna_high_ss_0.99_nrna_none	ZS	rna	spliced_annot	324083
gdna_high_ss_0.99_nrna_none	ZS	rna	unknown	4752
gdna_high_ss_0.99_nrna_none	ZS	rna	unspliced	671165
gdna_high_ss_0.99_nrna_none	ZC	gdna	.	1666515
gdna_high_ss_0.99_nrna_none	ZC	gdna	ambig_opp_strand	41962
gdna_high_ss_0.99_nrna_none	ZC	gdna	ambig_same_strand	290717
gdna_high_ss_0.99_nrna_none	ZC	gdna	unambig	806
gdna_high_ss_0.99_nrna_none	ZC	rna	ambig_opp_strand	55967
gdna_high_ss_0.99_nrna_none	ZC	rna	ambig_same_strand	921760
gdna_high_ss_0.99_nrna_none	ZC	rna	unambig	22273
gdna_high_ss_0.99_nrna_none	assignment_implicit	gdna	mrna	5
gdna_high_ss_0.99_nrna_none	assignment_implicit	gdna	nrna	3003
gdna_high_ss_0.99_nrna_none	assignment_implicit	rna	mrna	4752
gdna_high_ss_0.50_nrna_none	ZS	gdna	unknown	1669319
gdna_high_ss_0.50_nrna_none	ZS	gdna	unspliced	330681
gdna_high_ss_0.50_nrna_none	ZS	rna	spliced_annot	324083
gdna_high_ss_0.50_nrna_none	ZS	rna	unknown	4752
gdna_high_ss_0.50_nrna_none	ZS	rna	unspliced	671165
gdna_high_ss_0.50_nrna_none	ZC	gdna	.	1666515
gdna_high_ss_0.50_nrna_none	ZC	gdna	ambig_opp_strand	41962
gdna_high_ss_0.50_nrna_none	ZC	gdna	ambig_same_strand	290717
gdna_high_ss_0.50_nrna_none	ZC	gdna	unambig	806
gdna_high_ss_0.50_nrna_none	ZC	rna	ambig_opp_strand	55967
gdna_high_ss_0.50_nrna_none	ZC	rna	ambig_same_strand	921760
gdna_high_ss_0.50_nrna_none	ZC	rna	unambig	22273
gdna_high_ss_0.50_nrna_none	assignment_implicit	gdna	mrna	5
gdna_high_ss_0.50_nrna_none	assignment_implicit	gdna	nrna	3003
gdna_high_ss_0.50_nrna_none	assignment_implicit	rna	mrna	4752
