run	quantile	quant_dir	confusion_dir	reference_quantile	rho_ref	rho_global	n_at_floor	gdna_truth_total	rna_truth_total	gdna_to_mrna	gdna_to_nrna	gdna_to_gdna	gdna_unresolved	gdna_to_rna	gdna_to_mrna_rate	gdna_to_nrna_rate	gdna_to_rna_rate	gdna_recall	rna_to_gdna	rna_to_gdna_rate	rna_recall	em_mrna_total	em_nrna_total	em_gdna_total	locus3_gdna	locus3_mrna	locus3_nrna	locus3_gdna_eff_len	locus3_weight	locus3_prior_em
q95_baseline	Q95	/Users/mkiyer/Downloads/rigel_runs/vcap_rna20m_gdna20m/exon_strand_deconv_v1	results/vcap_exon_strand_deconv_validation_2026-05-20/confusion	0.95	0.000360860149874297	0.0006219970720308947	1	18228677	13989924	1171473	1328817	15431925	296462	2500290	0.0642653879927764	0.0728970621400554	0.1371624501328319	0.8465740547160938	466818	0.0333681583974294	0.9577435159762124	14505283.0	1403302.0	15607342.0	1446008.0	1162014.0	288677.0	92407095.3937175	0.2612124782037597	259499.21289192018
global_q999	Q99.9	/Users/mkiyer/Downloads/rigel_runs/vcap_rna20m_gdna20m/global_q999_v1	results/vcap_global_q999_confusion_2026-05-21	0.999	0.006697830378199035	0.0006219970720308947	27	18228677	13989924	1085039	1809632	15037544	296462	2894671	0.0595237383382238	0.0992739078102047	0.1587976461484286	0.824938858700497	459112	0.0328173333893736	0.9582943409842684	14371304.0	1939434.0	15205189.0	1378282.0	1140289.0	378128.0	9510006.332997559	0.026882484633800434	26706.165230011375
global_q9995	Q99.95	/Users/mkiyer/Downloads/rigel_runs/vcap_rna20m_gdna20m/global_q9995_v1	results/vcap_global_q9995_confusion_2026-05-21	0.9995	0.010103087717116929	0.0006219970720308947	33	18228677	13989924	1087668	1840760	15003787	296462	2928428	0.0596679616408804	0.1009815468231731	0.1606495084640536	0.823086996384872	455500	0.0325591475693506	0.9585525268042916	14373188.0	1974942.0	15167797.0	1372478.0	1139974.0	384247.0	6533722.5254053045	0.018469251148790895	18348.113263087776
