flowcell	true_source	fragments	mean_read_length	pred_rna	pred_gdna	pred_unresolved	pred_mrna	pred_nrna	pred_gdna_detail	pred_unresolved_detail	pred_rna_rate	pred_gdna_rate	pred_unresolved_rate
C6EL5ANXX	rna	13989924	124.6	13482965	386309	120650	12965635	517330	386309	120650	0.9637625622555205	0.027613373739557127	0.0086240640049224
H7MFFDSXY	gdna	18228677	149.4	3331662	14677584	219431	1385117	1946545	14677584	219431	0.18277036781111433	0.8051919511218505	0.0120376810670352
