true_source	predicted_pool	count	row_rate
gdna	mrna	1385117	0.07598560224639452
gdna	nrna	1946545	0.1067847655647198
gdna	gdna	14677584	0.8051919511218505
gdna	unresolved	219431	0.0120376810670352
rna	mrna	12965635	0.9267838052586991
rna	nrna	517330	0.036978756996821426
rna	gdna	386309	0.027613373739557127
rna	unresolved	120650	0.0086240640049224
