elapsed_sec,rss_mb
0.000,3104.7
0.000,3104.7
82.659,7835.3
82.868,7835.3
83.101,7923.8
83.433,8054.8
83.642,8130.8
83.747,8131.6
83.852,8133.5
83.955,8133.5
84.061,8133.5
84.162,8135.4
84.304,8135.5
84.442,8148.6
84.567,8148.6
84.672,8148.6
84.777,8148.6
84.882,8148.6
84.988,8148.6
85.093,8148.6
85.195,8148.6
85.300,8148.6
85.405,8148.6
85.505,8148.6
85.611,8148.6
85.716,8148.6
85.817,8148.6
85.920,8148.6
86.025,8148.6
86.141,8148.6
86.247,8148.6
86.352,8148.6
86.457,8148.6
86.562,8148.6
86.667,8148.6
86.772,8148.6
86.872,8148.6
86.977,8148.6
87.082,8148.6
87.188,8148.6
87.293,8148.6
87.398,8148.6
87.507,8148.6
87.612,8148.6
87.716,8148.6
87.820,8148.6
87.927,8148.6
88.032,8148.6
88.137,8148.6
88.237,8148.6
88.342,8148.6
88.446,8148.6
88.551,8148.6
88.656,8148.6
88.761,8148.6
88.866,8148.6
88.971,8148.6
89.076,8148.6
89.180,8148.6
89.284,8148.6
89.389,8148.6
89.494,8148.6
89.599,8148.6
89.706,8148.6
89.811,8148.6
89.916,8148.6
90.018,8148.6
90.123,8148.6
90.224,8148.6
90.326,8148.6
90.431,8148.6
90.536,8148.6
90.641,8148.6
90.746,8148.6
90.849,8148.6
90.952,8148.6
91.055,8148.6
91.158,8148.6
91.263,8148.6
91.366,8148.6
91.470,8148.6
91.574,8148.6
91.677,8148.6
91.782,8148.6
91.883,8148.6
91.988,8148.6
92.092,8148.6
92.195,8148.6
92.299,8148.6
92.404,8148.6
92.509,8148.6
92.610,8148.6
92.721,8148.6
92.827,8148.6
92.932,8148.6
93.037,8148.6
93.143,8148.6
93.248,8148.6
93.353,8148.6
93.458,8148.6
93.563,8148.6
93.667,8148.6
93.772,8148.6
93.875,8148.6
93.978,8148.6
94.084,8148.6
94.190,8148.6
94.295,8148.6
94.395,8148.6
94.505,8148.6
94.622,8148.6
94.739,8148.6
94.856,8148.6
94.973,8148.6
95.090,8148.6
95.207,8148.6
95.322,8148.6
95.438,8148.6
95.554,8148.6
95.671,8148.6
95.789,8148.6
95.906,8148.6
96.024,8148.6
96.133,8148.6
96.238,8148.6
96.342,8148.6
96.447,8148.6
96.551,8148.6
102.078,10869.5
102.210,10869.5
103.124,10869.5
103.235,10869.5
103.343,10869.5
103.448,10869.5
103.553,10869.5
103.658,10869.5
103.763,10869.5
103.866,10869.5
103.969,10869.5
104.074,10869.5
104.179,10869.5
104.283,10869.5
104.385,10869.5
104.490,10869.5
104.591,10869.5
104.702,10869.5
104.818,10869.5
104.930,10869.5
105.041,10869.5
105.146,10869.5
105.249,10869.5
105.354,10869.5
105.458,10869.5
105.563,10869.5
105.668,10869.5
105.773,10869.5
105.878,10869.5
105.983,10869.5
106.088,10869.5
106.193,10869.5
106.295,10869.5
106.400,10869.5
106.505,10869.5
106.610,10869.5
106.715,10869.5
106.820,10869.5
106.925,10869.5
107.030,10869.5
107.135,10869.5
107.237,10869.5
107.342,10869.5
107.447,10869.5
107.552,10869.5
107.657,10869.5
107.758,10869.5
107.863,10869.5
107.968,10869.5
108.073,10869.5
108.185,10869.5
108.294,10869.5
108.398,10869.5
108.504,10869.5
108.615,10869.5
108.719,10869.5
108.824,10869.5
108.932,10869.5
109.037,10869.5
109.141,10869.5
109.246,10869.5
109.351,10869.5
109.456,10869.5
109.557,10869.5
109.662,10869.5
109.768,10869.5
109.873,10869.5
109.978,10869.5
110.092,10869.5
110.197,10869.5
110.309,10869.5
110.414,10869.5
110.519,10869.5
110.624,10869.5
110.730,10869.5
110.835,10869.5
110.938,10869.5
111.043,10869.5
111.148,10869.5
111.253,10869.5
111.354,10869.5
111.458,10869.5
111.563,10869.5
111.668,10869.5
111.774,10869.5
111.879,10869.5
111.984,10869.5
112.089,10869.5
112.194,10869.5
112.295,10869.5
112.400,10869.5
112.505,10869.5
112.610,10869.5
112.713,10869.5
112.827,10869.5
112.928,10869.5
113.033,10869.5
113.143,10869.5
113.248,10869.5
113.353,10869.5
113.453,10869.5
113.558,10869.5
113.663,10869.5
113.768,10869.5
113.874,10869.5
113.983,10869.5
114.088,10869.5
114.193,10869.5
114.297,10869.5
114.402,10869.5
114.503,10869.5
114.608,10869.5
114.712,10869.5
114.817,10869.5
114.921,10869.5
115.026,10869.5
115.131,10869.5
115.246,10869.5
115.351,10869.5
115.456,10869.5
115.561,10869.5
115.666,10869.5
115.771,10869.5
115.876,10869.5
115.981,10869.5
116.086,10869.5
116.190,10869.5
116.295,10869.5
116.400,10869.5
116.503,10869.5
116.613,10869.5
116.722,10869.5
116.825,10869.5
116.928,10869.5
117.033,10869.5
117.138,10869.5
117.240,10869.5
117.345,10869.5
117.450,10869.5
117.554,10869.5
117.656,10869.5
117.761,10869.5
117.862,10869.5
117.967,10869.5
118.071,10869.5
118.176,10869.5
118.278,10869.5
118.383,10869.5
118.487,10869.5
118.595,10869.5
118.700,10869.5
118.806,10869.5
118.909,10869.5
119.013,10869.5
119.118,10869.5
119.220,10869.5
119.324,10869.5
119.425,10869.5
119.530,10869.5
119.633,10869.5
119.738,10869.5
119.843,10869.5
119.945,10869.5
120.047,10869.5
120.152,10869.5
120.253,10869.5
121.066,10869.5
121.076,10869.5
